prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0AF8CE5-1A33-4C76-A1BA-CC78B91794BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30315419,MTSS MATHLAUL ANWAR,30315419,JL.ALABIO-DANAU PANGGANG RANTAU BUJUR HILIR RT 1 NO 71,RANTAU BUJUR HILIR,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MTs,Kementerian Agama,,,010 TAHUN 2016,06-09-2016,010 TAHUN 2016,06-09-2016,Lihat SK Operasional,2017-03-31 07,B,995,,2.,,,,,,-2.449768000000,115.160751000000,0,79,100,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ED575F8C-C760-4205-BBA8-94375D8D8D06,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30315418,MTSS NU ZADUL MA AD,30315418,JL. SIMPANG TIGA RT. II NO. 15 GALAGAH,GALAGAH,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MTs,Kementerian Agama,,,L.o/3/429/IX.b/78,03-01-1978,Kd.17.08/4/PP.00.5/1686/2009,08-10-2009,Lihat SK Operasional,2018-10-23 06,B,0,,2.,,,,,,-2.443900000000,115.194100000000,0,95,110,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/004B5E53-30F5-E011-8B5B-733D6C030450,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302816,SD MUHAMADIYAH SUB. GALAGAH HULU,30302816,Jln. Polder Utara Rt. 02 No. 40,GALAGAH HULU,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Hulu Sungai Utara,AO5631,420/I-019/KS-26/1997,03-10-1977,E-1/044-PMW/1997,01-08-1977,Silakan Upload SK,,B,"2,405",1. -,2. -,PLN,,,subgalagah@yahoo.com,http,-2.448900000000,115.196900000000,5,45,56,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,4,0,2,0,1,1,1,2,4,1,0,1,4,0,0,1,0,1,1,2,1,4,SD 2013,Tidak Ada,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0401C53-30F5-E011-86D6-F94872AD1A97,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302829,SD NEGERI BANUA HANYAR 1,30302829,Jln.3 Desember,BANUA HANYAR,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,Tahun 1936,01-07-1936,Nomor 70 Tahun 2019,14-05-2019,Lihat SK Operasional,2019-07-29 09,Sertifikat Kedaluwarsa,882,1. Telkomsel Flash,2. Lainnya,PLN,,,sdnbanuahanyar1st@gmail.com,,-2.434868300000,115.184930000000,7,23,16,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,7,0,0,0,0,2,2,3,5,2,0,6,1,0,0,1,2,1,0,3,2,5,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20ED1C53-30F5-E011-8F5B-9BA4877B58EB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302844,SD NEGERI BANUA HANYAR 2,30302844,Jl.Tiga Desember,BANUA HANYAR,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,SD-06/16/1978,02-01-1978,421/48/UPT Disdik-ST/2015,01-01-1978,Lihat SK Operasional,2019-02-28 23,B,0,1. -,2. Lainnya,PLN,,,sdn.banuahanyar2@gmail.com,,-2.438566700000,115.180020000000,7,22,9,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,5,0,0,2,3,2,2,0,6,1,0,7,0,1,0,2,2,1,1,0,4,3,SD 2013,Tidak Ada,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60261C53-30F5-E011-82FC-970F7291FB16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302748,SD NEGERI GALAGAH HULU,30302748,Galagah Hulu,GALAGAH HULU,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/09/SD-04/GH/2019,01-07-1950,151 Tahun 2017,23-10-2017,Lihat SK Operasional,2019-02-28 14,B,900,1. Telkom Speedy,2. Telkom Speedy,PLN,,,sdngalagahhuluhsu@gmail.com,,-2.447500000000,115.196400000000,7,30,28,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,0,6,0,0,1,2,0,3,2,6,1,0,7,0,1,0,2,1,0,0,3,3,4,SD 2013,Telkom Speedy,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60491D53-30F5-E011-B90C-0F001CA2F3EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302526,SD NEGERI NELAYAN,30302526,Jl. Nelayan Rt. 02,NELAYAN,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,422/06/SD.31-ST/2019,02-01-1980,34 Tahun 2019,01-01-1910,Lihat SK Operasional,2019-03-08 14,A,"19,278",1. Lainnya,2. Telkom Speedy,PLN,,,sd.nelayan@gmail.com,,-2.449580300000,115.195238100000,6,24,29,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,2,6,0,0,0,0,1,4,1,6,0,0,6,0,0,1,1,2,0,0,2,2,4,SD 2013,Lainnya,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0751D53-30F5-E011-A69D-27AFE382F941,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302430,SD NEGERI PASAR SABTU,30302430,Pasar Sabtu,PASAR SABTU,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/095/SD-34/ST/2019,01-01-1983,117 Tahun 2018,01-01-1910,Lihat SK Operasional,2019-02-21 15,B,"1,040",1. Lainnya,2. Lainnya (Wavelan),PLN,,,sdnpasarsabtust30@gmail.com,http,-2.435190000000,115.188161700000,5,15,15,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,3,0,0,2,2,1,1,1,3,2,0,4,1,0,0,3,0,0,2,0,0,5,SD 2013,Lainnya,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50331C53-30F5-E011-B0A9-E5C4B98BB60E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302451,SD NEGERI PEMATANG BENTENG,30302451,Jalan Parindra RT.IV No.012 Kode Pos 71455,PEMATANG BENTENG,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0,01-01-1931,116 Tahun 2017,26-07-2017,Lihat SK Operasional,2018-01-08 07,B,"1,510",1. Indosat IM3,2. Telkom Astinet,PLN,0,,sdnpematang.bentengst@gmail.com,http,-2.455360000000,115.204193300000,8,35,37,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,0,7,0,0,1,1,0,3,4,8,0,0,7,1,1,1,0,1,1,0,4,1,7,SD 2013,Indosat IM3,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E04D1C53-30F5-E011-B1E0-678BA4C2918D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302472,SD NEGERI RANTAU BUJUR TENGAH,30302472,Jl. Sungai Kuli  Rt. 1,RANTAU BUJUR TENGAH,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,12-01-1925,131 Tahun 2017,29-09-2017,Lihat SK Operasional,2018-02-22 10,B,901,1. Telkomsel Flash,2. Telkom Astinet,PLN,,,sdnrantaubujurtengah@gmail.com,http,-2.444773300000,115.170540000000,6,50,31,6,Pagi/6 hari,,2022/2023-2,450,6,0,0,2,3,1,0,2,3,1,2,0,3,3,1,4,1,0,1,2,1,0,1,1,2,4,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80141D53-30F5-E011-B01D-678B924C8D3C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30302597,SD NEGERI SUNGAI TABUKAN,30302597,Jln.pelder Utara,SUNGAI TABUKAN,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,442/8/Kepala.SD-ST/27/2019,01-01-1980,32 Tahun 2019,01-01-1910,Lihat SK Operasional,2019-04-11 15,B,"1,500",1. XL (GSM),2. Indosat IM3,PLN,0,0,sdnsungaitabukan@yahoo.com,,-2.458280400000,115.201982300000,8,20,17,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,6,0,0,2,2,1,2,3,8,0,0,7,1,1,1,1,0,2,0,3,3,5,SD 2013,XL (GSM),1,1,1,1,1,1
