prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20E396B7-8C18-E111-A6A8-B9FF6586B815,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20522367,UPTD SPF SD Negeri Ardisaeng 2 Kec. Pakem,20522367,Jln.antokan,ARDISAENG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,04-09-1982,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-31 07,C,0,1. -,2. -,PLN,,,sdn.ardisaeng2@gmail.com,,-7.899300000000,113.731300000000,6,24,6,6,Pagi/6 hari,,2022/2023-2,450,3,0,0,0,3,2,0,1,4,1,1,0,2,4,0,4,2,1,1,1,1,2,0,0,6,0,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/209B8CB7-8C18-E111-9D65-6569256E1A3E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20522422,UPTD SPF SD Negeri Gadingsari 1 Kec. Pakem,20522422,Dusun Pinang Atap,GADINGSARI,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,0,03-01-1976,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-24 20,C,"2,295",,2.,,,,sdngadingsari@yahoo.com,,-7.864600000000,113.731300000000,7,46,45,6,,,2022/2023-2,,6,0,0,1,3,2,0,2,5,0,2,0,2,5,0,6,1,2,2,1,0,0,2,0,6,1,1,1,1,1,1,1,,,,SD 2013,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E00096B7-8C18-E111-B528-AD73EFAF5738,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20522408,UPTD SPF SD Negeri Gadingsari 2 Kec. Pakem,20522408,Desa Gadingsari,GADINGSARI,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-01-1980,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-24 20,C,980,1. -,2. Telkom Speedy,PLN,,,sdngadingsari2@yahoo.com,,-7.875800000000,113.735300000000,6,36,37,6,Sehari Penuh/6 hari,,2022/2023-2,900,6,0,0,0,2,1,0,3,5,1,0,0,2,4,0,5,1,2,2,1,0,1,0,0,4,2,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/203F95B7-8C18-E111-806E-B1470BD50115,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521623,UPTD SPF SD Negeri Kupang 1 Kec. Pakem,20521623,"Jalan Tancak Kembar, Dusun Sumber Paalah",KUPANG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,07-06-1977,Perbup No. 34 Tahun 2018,16-04-2018,Silakan Upload SK (link file tidak valid) => [315418-118606--],2020-08-22 16,B,"1,252",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,sdnkupang1@yahoo.com,,-7.886300000000,113.720400000000,8,48,28,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,0,0,5,1,0,2,3,2,2,1,5,3,1,3,4,2,0,1,3,0,1,1,5,3,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20F896B7-8C18-E111-BC74-9B6F62B579E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521634,UPTD SPF SD Negeri Kupang 2 Kec. Pakem,20521634,Jl Pakualas No. 10,KUPANG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,07-01-1983,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2018-11-29 11,B,"2,055",1. Smartfren,2. Lainnya (Kabel),PLN,,,hafidzmustafa@gmail.com,,-7.902300000000,113.709800000000,7,46,41,6,Pagi/6 hari,,2022/2023-2,450,8,0,1,1,4,1,0,2,3,2,2,0,3,4,0,3,4,2,0,0,0,1,4,0,4,3,1,1,1,1,1,1,,,,SD 2013,Smartfren
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D00C97B7-8C18-E111-A6EC-911E06B8AACF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521635,UPTD SPF SD Negeri Kupang 3 Kec. Pakem,20521635,Jln. Argopuro No. 11,KUPANG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1910,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-24 10,B,"1,474",1. Smartfren,2. Telkomsel Flash,PLN,,,sdn.kupang3@yahoo.com,,-7.893300000000,113.711200000000,6,37,26,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,3,1,0,2,3,1,1,1,3,3,0,4,2,0,1,1,2,0,0,2,4,2,1,1,1,1,1,1,,,,SD 2013,Smartfren
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0EE93B7-8C18-E111-9D47-81F6B5A6EE1B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521679,UPTD SPF SD Negeri Pakem Kec. Pakem,20521679,Jl Raya Pakem,PAKEM,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,02-07-1976,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-29 13,B,"1,872",1. Indosat IM3,2. Telkom Speedy,PLN,,,sdn.pakem@yahoo.com,,-7.870700000000,113.742800000000,9,87,69,6,Pagi/6 hari,,2022/2023-2,900,6,0,2,2,4,0,0,5,5,0,4,0,4,5,0,4,5,3,0,2,2,0,1,1,5,4,1,1,1,1,1,1,,,,SD 2013,Indosat IM3
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00D793B7-8C18-E111-8E01-25525B246991,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521650,UPTD SPF SD Negeri Patemon 1 Kec. Pakem,20521650,Jl. Pasar Pakem,PATEMON,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,07-01-1923,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-25 10,B,"4,343",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdnpatemon1_pakem@yahoo.co.id,,-7.856400000000,113.749300000000,16,131,140,12,Pagi/6 hari,,2022/2023-2,900,10,0,2,2,10,3,0,3,8,1,6,1,8,8,1,10,5,2,0,4,2,2,3,3,9,7,2,2,2,2,2,2,,,,SD 2013,Telkomsel Flash
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A05B94B8-8C18-E111-B1A8-297ED30A4942,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521520,UPTD SPF SD Negeri Petung 1 Kec. Pakem,20521520,Jl. Sumber Blimbing Desa Petung,PETUNG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1910,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-24 20,B,"1,900",1. Telkomsel Flash,2. -,PLN,0,0,sdn.petung1@gmail.com,,-7.849200000000,113.741700000000,7,109,109,6,Pagi/6 hari,,2022/2023-2,450,8,0,1,2,3,3,0,1,4,0,3,0,3,4,0,6,1,2,2,0,1,1,1,0,2,5,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40858BB7-8C18-E111-8A3B-C3CA4F324EC0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521518,UPTD SPF SD Negeri Petung 2 Kec. Pakem,20521518,Jl. Dusun Leduk,PETUNG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,13D 111 226,23-07-1987,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-03-18 13,C,715,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdnpetung2pakembondowoso@gmail.com,,-7.840800000000,113.734400000000,2,6,7,6,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/205296B7-8C18-E111-B178-1B7EE7B39B36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521850,UPTD SPF SD Negeri Sumber Dumpyong 2 Kec. Pakem,20521850,Jl. Tancak Kembar 035,SUMBERDUMPYONG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1900,Perbup No. 34 Tahun 2018,16-04-2018,Silakan Upload SK (link file tidak valid) => [750992-961444--],2023-01-04 02,C,230,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnsumberdumpyong@gmail.com,http,-7.885800000000,113.758200000000,8,23,26,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,4,3,0,1,4,3,1,0,4,4,0,7,1,1,0,1,2,0,1,3,6,2,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0CD96B7-8C18-E111-959A-F1F6D49ECD19,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521849,UPTD SPF SD Negeri Sumber Dumpyong 3 Kec. Pakem,20521849,Jl. Tancak Kembar,SUMBERDUMPYONG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,12-05-1983,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-04-01 23,B,0,1. Indosat IM3,2. Axis,PLN,0,,dumpyong3@gmail.com,http,-7.873900000000,113.751800000000,8,18,19,6,Pagi/6 hari,,2022/2023-2,900,0,0,0,3,5,2,0,1,3,0,4,1,3,5,1,5,2,0,2,1,0,1,1,3,4,4,1,1,1,1,1,1,,,,SD 2013,Indosat IM3
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/600B95B7-8C18-E111-8E2A-9D7679B0B8A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521864,UPTD SPF SD Negeri Sumber Dumpyong.1 Kec. Pakem,20521864,Jln.Tancak Kembar No. 14,SUMBERDUMPYONG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-08-1977,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-04-04 09,B,975,1. Telkomsel Flash,2. XL (GSM),PLN,,,sdnsumberdumpyong1@gmail.com,http,-7.880600000000,113.746300000000,8,18,19,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,3,4,1,0,3,4,1,1,2,4,4,0,4,4,1,2,1,1,0,1,2,5,3,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6067E9B9-8C18-E111-972F-09073E1DFD95,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521808,UPTD SPF SMP Negeri 1 Pakem,20521808,Pakem,PATEMON,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,472/0/1983,07-11-1983,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2018-10-02 14,B,"13,776",1. -,2. Telkom Speedy,PLN,,,smpnpakem1@gmail.com,,-7.854300000000,113.749500000000,14,99,57,6,Pagi/6 hari,,2022/2023-2,"2,100",12,1,1,1,8,4,0,2,7,1,5,1,9,5,0,11,3,0,3,1,4,2,2,2,7,7,,,,,,,2,2,2,SMP 2013,Tidak Ada
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0BCE0B3-8C18-E111-BCBA-4179CA8E367A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20521766,UPTD SPF SMP Negeri 2 Pakem,20521766,Desa Ardisaeng,ARDISAENG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,Nomor 987 Tahun 2004,29-04-2004,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2018-10-02 14,B,"5,930",1. Lainnya (Wavelan),2. Lainnya (Serat Optik),PLN,0,,smpnpakem02@yahoo.co.id,,-7.887500000000,113.729700000000,16,113,77,8,Pagi/6 hari,,2022/2023-2,"1,200",10,1,1,2,10,4,0,2,6,1,8,1,8,8,1,12,3,1,1,1,4,3,2,4,9,7,,,,,,,2,3,3,SMP 2013,Lainnya (Wavelan)
