prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B839C32A-4046-473F-A42B-A6F37C711866,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669298,LKP GANESHA OPERATION TANGCYTI,K5669298,Ruko Business Park Tangsity Blok D no 19-20 Babakan Kota Tangerang,BABAKAN,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.10/Kep.17-LKP/DPMPTSP/2018,10-07-2018,421.10/Kep.17-LKP/DPMPTSP/2018,10-07-2018,Lihat SK Operasional,2018-07-20 11,,164,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D7E96C2-0536-477E-B8D6-3D95699BCEDB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666501,LKP Grand,K5666501,Jl. Tegal Sari IV/12 Tangerang,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,5526849,tika_suliarta@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2B912AB5-A026-4D23-A856-85C343B1C0F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666465,LKP Grand English Course,K5666465,Jl. Kisamaun No.46 Tangerang RT 02 RW 03 Kota Tangerang Banten  15118,SUKASARI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,,0,,2.,,,02155778158,riana8308@yahoo.com,www.facebook.com/grandenglishcourse,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63EEFF5C-622D-4B78-84BD-1CE3D3D61A17,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990115,LKP I CAN READ,K9990115,Ruko Modernland Jl. Hartono Raya Blok R No. 27,KELAPA INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,PMA 32/MPK.C/PM/2019,30-12-2019,PMA 32/MPK.C/PM/2019,30-12-2019,Lihat SK Operasional,2020-02-12 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE27A3BC-3B07-4551-8E5F-FCBD50237A88,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996692,LKP JRK BROW STUDIO,K9996692,Jln. Hartono Raya Ruko Modernwalk No. 29 Modernland,KELAPA INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.10/KMT-129/BID.PEMKES/2019,14-08-2019,421.10/KMT-129/BID.PEMKES/2019,14-08-2019,Lihat SK Operasional,2020-10-06 14,,50,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D32AE94-9CE3-4C1D-BCC9-E883563B9C7B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998237,LKP KUMON TAMAN ROYAL,K9998237,Ruko Permata Niaga 3 no 26,TANAH TINGGI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.10/Kep.01-LKP/DPMPTSP/2022,07-03-2022,421.10/Kep.01-LKP/DPMPTSP/2022,07-03-2022,Lihat SK Operasional,2022-09-08 09,,72,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/01FF93B5-811E-4C05-B297-77EA25B1F9C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666477,LKP Liliana Jaya,K5666477,Jl. Kelapa I No.9 Perumnas I Kel.Cibodasari  Kec. Cibodas Kota Tangerang Banten,CIKOKOL,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3544957D-67BA-4B42-A505-086682016DAB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669324,LKP LP3I SUDIRMAN TANGERANG,K5669324,Gedung Graha Sudirman no 1-3 Jln Jendral Sudirman Rt 001/007 Babakan Kota Tanger,BABAKAN,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,421.10/Kep.17-LKP/DPMPTSP/2016,16-05-2016,421.10/Kep.17-LKP/DPMPTSP/2016,16-05-2016,Lihat SK Operasional,2018-07-31 07,,362,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/966E4E7A-9545-436D-AA9A-D85B791DFDF9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669172,LKP Mandala Aviation Training Center,K5669172,Ruko Metropolis GM3 No 6 Jl. Hartono Raya Modernland,KELAPA INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.10/Kep.02-LKP/DPMPTSP/2018,06-02-2018,421.10/Kep.02-LKP/DPMPTSP/2018,06-02-2018,Lihat SK Operasional,2018-05-17 14,,240,,2.,,,,informasi.matc@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6DDFE31A-14EF-431C-83E0-6D70D8B137BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666455,LKP Masa Depan,K5666455,Jl. Kisamaun No.72 Kota Tangerang Banten 15118,CIKOKOL,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,A,0,,2.,,,021-5517906,lkp.masadepan@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/46315B79-FF34-4C17-B2F2-7E6EB7EF97C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666473,LKP Melati,K5666473,"Komp.Pertokoan Taman Surya Buana Blok C11A, Larangan Kota Tangerang Banten 15155",BABAKAN,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,Terakreditasi,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5EB3D4E-0BDD-4774-A604-A2E4E8A01510,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666483,LKP Primagama,K5666483,"Jl.Hos Cokroaminoto 85 G Ciledug Sudimara Timur, Tangerang, Banten 15151",SUKARASA,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7D102339-DF67-4A3D-90F8-174D38A0ED57,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666464,LKP Universal Bina Mandiri,K5666464,Komp. Mahkota Mas Blok C/12 Cikokol Kota Tangerang Banten 15117,CIKOKOL,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/99CEDDC5-E9DD-49D1-9D26-E5DDA2E00480,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666466,LKP Victoria,K5666466,Jl. Satria No.10 Kota Tangerang Banten 15111,TANAH TINGGI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EDE7DE8A-4820-45C2-B863-7DD8F2A52F7D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666494,LKP Yuni,K5666494,"Jl. Cemara Raya No.68 Rt03/09 Perumnas 1, Kel. Cibodasari, Kec. Cibodas, Kota Ta",KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EF9C8715-0D53-477F-928F-8D5B78DD3D4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666474,LP3I,K5666474,Jl. Raden Shaleh No.2 Karang Tengah Ciledug Kota Tangerang Banten 15157,BUARAN INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/66DC7F36-6193-4671-8744-DB5886BDC382,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5666458,LP3I Ready Sentra,K5666458,"Ruko Ready Sentra Cimone Jl. Gatot Subroto Km 2,5 No.1-2 Cimone Kota Tangerang b",SUKASARI,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE462AEF-73F0-4601-95F1-74B6D164B5A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2966157,PKBM ISLAMICITY,P2966157,BENTENG BETAWI KEC. TANGERANG,BUARAN INDAH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AL0853,421.10/Kep/PKBM/KEC.TNG/2017,20-12-2017,421.10/Kep/PKBM/KEC.TNG/2017,20-12-2017,Lihat SK Operasional,2021-02-22 15,C,"4,000",1. -,2. Telkom Speedy,PLN,,,amalia_citra25@yahoo.com,,-6.175400000000,106.650600000000,6,0,0,7,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"13,000",2,0,0,2,0,0,9,0,6,0,0,0,0,6,0,0,6,3,1,0,2,0,0,0,2,4,2,0,0,0,0,0,0,0
Banten,Kota Tangerang,Tangerang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BB148F0B-A80D-4A82-8B0A-400809154D96,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9926362,PKBM ISTIMEWA,P9926362,"JL.DAAN MOGOT NO.29C, ,KOTA TANGERANG, PROV.BANTEN 15111",SUKAASIH,KEC. TANGERANG,KOTA TANGERANG,PROV. BANTEN,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan ISTIMEWA,AL0844,421.10/Kep.08/PKBM/KEC.TNG/2017,30-10-2017,421.10/Kep.08/PKBM/KEC.TNG/2017,30-10-2017,Lihat SK Operasional,2021-02-22 10,C,0,1. -,2. Telkom Speedy,PLN,0215523446,,pkbmistimewa@yahoo.com,,-6.164400000000,106.640500000000,10,0,0,5,2013,Sehari Penuh/3 hari,,2022/2023-2,Tidak Ada,"3,300",2,0,1,1,6,0,4,2,4,1,4,1,0,10,0,6,4,0,1,1,1,2,2,3,4,6,2,0,0,0,1,0,0,0
