prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/68B295F5-1113-4886-8886-7175926B4CA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018200,Institut Superieur De Mecanique De Paris,70018200,"3 Rue Fernand Hainaut, 93400 Saint-Ouen, France",AULANI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,5002/Belmawa/Kep/IJLN/2018,31-12-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A721D840-F909-4038-8E33-8B1E8CF5B3E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018315,Institute Vatel De Paris,70018315,"122 Rue Nollet, 75017 Paris, France",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0612/Dikti/Kep/IJLN/2015,23-02-2015,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E2C59B7-AB50-4E71-AE15-E4F06BBC0AE2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018391,Jinzhou Medical University,70018391,"Taihe District, Jinzhou, China",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0542/Belmawa/Kep/IJLN/2021,16-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/68D67888-1A0D-43A0-8414-BD7D20EC40BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018402,Jonkoping International Business School,70018402,"Gjuterigatan 5, 553 18 JÃ¶nkÃ¶ping, Swedia",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1736/Dikti/Kep/IJLN/2014,17-04-2014,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2E966306-36C0-413B-885B-1245633FDD6E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018442,Kazan National Research Technological University,70018442,"10, K.Marx St., Kazan,Tatarstan 420111, Russia",MARLO,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,3118/Belmawa/Kep/IJLN/2017,03-09-2017,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14839D48-62B9-4701-8AA5-C7005EDED867,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018509,Korea National University of Transportation,70018509,"South Korea, Chungcheongbuk-do, Chungju-si, Daehak-ro, 50 KR",PURUGI,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,0799/Belmawa/Kep/IJLN/2021,28-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/09C93CAC-110B-4A10-A51C-B19CB86A247B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018536,Kyoto City University of Arts,70018536,"13-6 Oekutsukakecho, Nishikyo Ward, Kyoto, 610-1197, Japan",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,0716/Belmawa/Kep/IJLN/2019,22-02-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D9E14A16-1FBC-4616-8559-D0505B58362A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018554,La Fondation Le Cordon Bleu at Australia,70018554,,KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1713/Belmawa/Kep/IJLN/2018,07-05-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/561D83BD-9D62-44ED-847F-72F67CB04DC9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018571,Leeds Beckett University,70018571,"Leeds LS1 3HE, United Kingdom",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,2485/Belmawa/Kep/IJLN/2015,26-08-2015,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D1727FD7-F2DB-4EF6-BE1F-249061C84386,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018637,Maastricht School of Management,70018637,"Endepolsdomein 150, 6229 EP Maastricht, Netherlands",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,0702/Belmawa/Kep/IJLN/2021,28-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C853786-2FA6-4CDD-AEB1-2F6FF5843A21,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018698,Middle East University Fze,70018698,"Amenity Centre, GF 002, Al Hamara, Ras Al Khaimah",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,2807/Belmawa/IJLN/2020,01-12-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71CEFAC0-11EC-41D5-BBB8-716BFF32520F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018715,Minzu University of China,70018715,"27 Zhongguancun S St, Haidian District, Beijing, China",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,265/Belmawa/Kep/IJLN/2019,04-09-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CAD71623-619F-45E0-A82E-CC0938B75007,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018734,Morling College,70018734,"122 Herring Rd, Macquarie Park NSW 2113, Australia",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,1742/Belmawa/Kep/IJLN/2021,06-06-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DCE12F8E-356D-43BD-ACC5-D69AEE3367CF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018760,Muséum National d'Histoire Naturelle,70018760,"57 Rue Cuvier, 75005 Paris, France",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,2452/Belmawa/Kep/IJLN/2018,06-08-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
Papua Pegunungan,Kab. Tolikara,Kanggime,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A987CB7-B0EA-4B6B-BAA7-55A48A83314A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70018776,Nanjing Institute of Railway Technology,70018776,"Zhenzhu S Rd, Pukou District, Nanjing, Jiangsu, China",KEC. KANGGIME,KAB. TOLIKARA,PROV. PAPUA PEGUNUNGAN,INDONESIA,NEGERI,Institut,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0563/Belmawa/Kep/IJLN/2021,16-02-2021,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,
