prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3FF5D52A-96D9-4C0A-9146-A1F5276D946C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584709,MAS KHOIRUDDIN,20584709,JL,MONCEK TENGAH,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,D?Kw.13.4/MA/268/2008,20-10-2008,MA/1037/2010,01-07-2010,Lihat SK Operasional,2015-03-02 08,B,0,,2.,,,,,,-7.083500000000,113.738100000000,0,25,22,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EFB8EAE7-981F-42EC-896D-A553A1B9004F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20577787,MAS MIFTAHUL HUDA,20577787,JLN. RAYA ELLAK LOAK DARUSA TIMUR,ELLAK LAOK,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Kw.13.4/4/PP.03.2/2363/2007,06-08-2007,MAS/29.0042/2017,08-06-2007,Lihat SK Operasional,2020-01-08 14,C,0,,2.,,,,,,-7.006500000000,113.759400000000,0,12,18,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22B16502-2DC1-4138-8B17-7E563D1F8BC5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584719,MAS MIFTAHUL ULUM,20584719,JL. SALAK NO. 02,LENTENG TIMUR,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS / 29.0041 / 2017,13-01-2017,MAS / 29.0041 / 2017,13-01-2017,Lihat SK Operasional,2020-01-08 09,B,0,,2.,,,,,,-7.064049000000,113.755760000000,0,101,73,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/39BB8168-3288-490F-A00D-7CF06D0A4387,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983577,MAS MIFTAHUL ULUM,69983577,JL. YAYASAN AL QODIRI LENTENG BARAT,LENTENG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/29.0149/ 2018,02-07-2018,MAS/29.0149/ 2018,02-07-2018,Lihat SK Operasional,2020-02-29 11,C,0,,2.,,,,,,-7.041546700000,113.728200200000,0,10,24,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50DA3361-FF07-4144-AEA2-27BE6FF75D26,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584732,MAS RAUDLATUL ULUM,20584732,JL. PONPES AL-FATA,BILAPORA REBA,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.012900000000,113.783000000000,0,33,23,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47AFB0C8-86CB-4BA0-A166-A7A23C554DAC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584733,MAS SABILUL MUTTAQIN,20584733,JL. RAYA LENTENG DESA DARAMISTA KEC. LENTENG,DARAMESTA,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Kw.13.4/4/PP.03.2/1772/2006,12-06-2006,MAS / 29.0044 / 2017,13-01-2017,Lihat SK Operasional,2019-12-10 15,B,0,,2.,,,,,,-7.201700000000,115.869100000000,0,49,77,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/08481901-1C29-40DF-B9AB-91B1F7D12944,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69881318,SMA ISLAM AT - TUGHNIYAH,69881318,MONCEK TENGAH,MONCEK TENGAH,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Ponpes At-Tughniyah,AE6294,420/56/435.101/2014,15-09-2014,420/56/435.101/2014,15-09-2014,Lihat SK Operasional,2015-10-13 06,C,"2,500",,2.,,,,habibattughniyah@yahoo.com,http,-7.066400000000,113.740100000000,9,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,10,0,9,0,0,0,0,9,0,9,0,0,3,3,2,1,0,0,6,3,SMA 2013 IPS,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/877B7AAC-502F-490B-9CD0-2EC278488BF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20551883,SMA ISLAM NURUL YAQIN,20551883,"JL. BINDARA SAOD, Gg. V",LEMBUNG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Nurul Yaqin,AE6318,AHU-0005258.AH.01.04/2016,29-01-2016,420/2002/101.2/2018,15-03-2018,Lihat SK Operasional,2019-07-01 10,B,360,1. Lainnya,2. Telkom Speedy,PLN,,,manshuri_dera@yahoo.com,,-7.044600000000,113.754600000000,14,31,25,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,2,1,0,11,4,13,0,1,0,3,11,0,13,1,0,1,6,2,5,0,0,9,5,SMA 2013 IPS,1,1,1,Lainnya,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D9268A6-A2AE-4E68-BEAF-31DF7C376683,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20529964,SMAN 1 LENTENG,20529964,JL. RAYA PAYUDAN,LEMBUNG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,30/7/341/VIII/444/102/1997,17-06-1997,13.a/O/1998,19-07-1998,Lihat SK Operasional,2016-12-08 07,B,"9,975",1. -,2. Telkom Speedy,PLN,,,sman1lenteng98@gmail.com,http,-7.040600000000,113.756200000000,24,105,53,7,Sehari Penuh/5 hari,,2022/2023-2,"4,400",10,1,1,0,18,2,0,4,10,0,10,4,18,6,0,24,0,2,4,3,3,8,2,2,13,11,SMA 2013 IPS,2,2,3,Tidak Ada,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/669A1A52-BDA5-4942-8663-5BAEF24C2B0B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69787152,SMAS ISLAM ASSYAFIIYAH,69787152,JL. GUNUNG MALANG 1,LENTENG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan ASSYAFI'IYAH,AE6297,09/S.K/YASFI/VII/2011,05-07-2011,412/18.02.10/02/XI/2022,18-11-2022,Lihat SK Operasional,2022-11-28 04,C,"4,158",1. -,2. Telkomsel Flash,PLN,,,smaasyfi@gmail.com,http,-7.018000000000,113.737000000000,14,28,26,3,Pagi/6 hari,,2022/2023-2,900,3,0,0,2,0,0,15,0,14,0,0,0,1,13,0,11,3,3,4,3,3,1,0,0,12,2,SMA 2013 IPS,1,1,1,Tidak Ada,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2886F2E-F68C-460B-9622-AA443058025C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20564427,SMAS TANWIRUL HIJAH,20564427,JL. KALIMAS CANGKRENG,CANGKRENG,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TANWIRUL HIJA,AE6308,58,19-08-2011,413/18.02.10/02/XI/2022,18-11-2022,Lihat SK Operasional,2022-11-25 14,B,"3,150",1. XL (Serat Optik),2. Telkom Speedy,PLN,212,,smatanwirulhijasumenep@gmail.com,http,-7.040400000000,113.799900000000,14,60,43,3,Pagi/6 hari,,2022/2023-2,"2,200",6,0,1,1,1,0,14,0,13,0,0,1,3,11,0,10,4,2,5,2,2,2,1,0,7,7,SMA 2013 IPS,1,1,1,XL (Serat Optik),
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ABD09F73-67DF-49F6-A435-9D3CE1C53AF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888834,SMK AL-AZHAR,69888834,JL.RAYA PASAR MONCEK TENGAH LENTENG,MONCEK TENGAH,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan AL KHUZAIMAH,AE6276,420/01/435.101/2015,11-02-2015,420/01/435.101/2015,11-02-2015,Lihat SK Operasional,2020-08-29 19,B,84,1. XL (GSM),2. Telkom Speedy,PLN,,,smkalazharmoncek@yahoo.com,http,-7.033822000000,113.764131000000,10,21,14,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,1,2,0,7,2,8,0,1,1,3,7,0,9,1,0,2,5,1,1,1,0,8,2,SMK 2013 REV. Teknik Komputer dan Jaringan,1,1,1,XL (GSM),0
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5C96F6EC-8447-484D-BA50-2A11EF079A9E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69980200,SMK NURUL HUDA SASAR,69980200,Jl. Dsn. Sasar,MONCEK BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN NURUL HUDA KAPEDI BLUTO SUMENEP,AW8980,P2T/43/19.06/01/V/2018,25-05-2018,P2T/43/19.07/01/V/2018,25-05-2018,Lihat SK Operasional,2020-08-25 07,C,750,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smknurulhuda24@gmail.com,,-7.072400000000,113.738200000000,8,21,15,3,Pagi/6 hari,,2022/2023-2,900,3,0,1,0,0,0,9,0,8,0,0,0,0,8,0,7,1,6,0,2,0,0,0,0,5,3,SMK 2013 REV.  Agribisnis Ternak Unggas,1,1,1,Telkomsel Flash,0
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/27F16669-DF96-498E-B18B-F77F366712E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20564458,SMKS AL ITTIHAD,20564458,JL. RAYA TELAGA,LEMBUNG TIMUR,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al - Ittihad,AE6319,420/232/101/09,30-06-2009,P2T/391/19.08/02/VIII/2018,16-07-2018,Lihat SK Operasional,2020-08-24 20,B,"1,982",1. -,2. XL (GSM),PLN & Diesel,082334203131,,smk_al_ittihad@yahoo.co.id,http,-7.043500000000,113.760100000000,12,26,34,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,1,0,12,1,11,0,1,0,3,9,0,10,2,0,5,4,2,1,0,0,5,7,SMK 2013 REV.  Agribisnis Pengolahan Hasil Pertanian,2,2,2,Tidak Ada,0
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1737DAF3-80D9-4627-B884-856AA2AF92AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69769391,SMKS AL-FATA,69769391,Jl. Pesantren Al-Fata No. 3 Billapora Rebba,BILAPORA REBA,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pondok Pesantren Al-Fata,AE6272,420/21/4.5.102/2013,07-10-2013,420/09/435.101/2013,29-05-2013,Lihat SK Operasional,2020-08-26 08,Sertifikat Kedaluwarsa,"6,000",1. XL (Serat Optik),2. Telkom Speedy,PLN,0328,0328,smkalfata@yahoo.com,http,-7.065800000000,113.734400000000,10,25,9,3,Pagi/6 hari,,2022/2023-2,900,5,0,0,1,2,0,7,2,9,0,1,0,3,7,1,5,4,1,3,1,3,1,0,1,7,3,SMK 2013 REV. Teknik Komputer dan Jaringan,1,1,1,XL (Serat Optik),0
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C65A0D2D-3542-409B-824D-A51CA23BF822,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69849573,SMKS NURUL IMAN,69849573,Jl. KH. Abd. Shamad - Sumber Senongan,ELLAK DAYA,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan NURUL IMAN ELLAK DAYA LENTENG SUMENEP MADURA,AE6287,420/004/435.101/2016,25-08-2016,P2T/1188/19.08/02/X/2019,17-10-2019,Lihat SK Operasional,2022-01-21 07,B,100,1. XL (Serat Optik),2. Lainnya (Serat Optik),PLN,0328,,smksnurulimanbisa@gmail.com,http,-7.007700000000,113.766400000000,8,19,17,3,Pagi/6 hari,,2022/2023-2,"1,300",3,0,1,0,0,0,8,1,8,0,0,0,0,8,0,3,5,2,2,2,1,0,0,1,6,2,SMK 2013 REV. Teknik Komputer dan Jaringan,1,1,1,XL (Serat Optik),0
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A75D7C01-12BE-4194-81ED-0B299F5F741F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20571325,SMKS SIDING PURI,20571325,JL. KALIMAS NO. 05,POREH,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan MUHAMMAD HASYIM SUMENEP,AE6311,421.5/5544/103.05/2010,01-07-2010,P2T/1115/19.08/02/IX/2019,16-09-2019,Lihat SK Operasional,2020-08-24 20,B,"1,545",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smksidingpuri@gmail.com,http,-7.036800000000,113.786200000000,15,75,53,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,0,0,16,1,15,0,0,0,3,12,0,15,0,4,7,3,1,0,0,0,7,8,SMK 2013 REV. Teknik Komputer dan Jaringan,2,2,2,Telkomsel Flash,0
