prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78C2A7E1-40E7-40E7-9ECF-BFDA1E2B94D7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223069,SMAS PANGERAN JAYAKARTA,20223069,JL. Pangeran Jayakarta Kav. Mekar Jaya Rt 001/006,HARAPAN MULYA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Wakaf Al-Choir Pangeran Jayakarta,AD7471,070/102.Kep/E85,01-01-1901,070/I02.Kep/E85,01-01-1900,Lihat SK Operasional,2015-10-17 16,C,"1,278",1. -,2. Telkomsel Flash,PLN,,22101359,smapangjay@yahoo.co.id,http,-6.225700000000,106.986500000000,10,68,83,4,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,0,6,2,1,1,0,0,7,4,10,0,0,0,2,8,0,8,2,3,3,1,1,1,1,0,4,6,,,,,,,,,,2,2,0,Tidak Ada,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74D5DB7A-C1EB-4DAB-86D8-B50669C08012,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231721,SMAS PATRIOT BEKASI,20231721,JL. KALI BARU TIMUR KRANJI,KALI BARU,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PATRIOT PENDIDIKAN BEKASI,AX0817,17/YPPB/XX/82,20-09-1982,018/102.KEP/E.83,10-02-1983,Lihat SK Operasional,2020-09-01 07,A,"1,350",1. Telkomsel Flash,2. Telkom Speedy,PLN,02188965409,02189453755,smapatriotkotabekasi@yahoo.co.id,http,-6.221300000000,106.976700000000,15,90,157,8,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,"12,500",8,3,1,2,0,0,14,2,15,0,0,0,10,5,1,11,3,2,1,2,5,2,2,1,7,8,,,,,,,,,,4,2,2,Telkomsel Flash,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/65270CC5-A12A-4300-9D21-1E38EFCE4848,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223029,SMAS TAMAN HARAPAN 1,20223029,KOMP. PERUM HARAPAN BARU,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPIS TAMAN HARAPAN,AD7433,707/102.1/Kep/OT/96,16-08-1996,707/102.1/Kep/OT/96,16-08-1996,Lihat SK Operasional,2020-08-26 18,A,"3,000",1. Biznet (Kabel),2. Lainnya (Serat Optik),PLN,02188976805,0218872053,tatausaha@tamhar.sch.id,http,-6.178800000000,106.993000000000,31,220,228,14,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,"13,000",17,4,1,2,0,1,33,4,30,0,1,0,16,15,1,23,7,5,4,4,6,1,5,6,14,17,,,,,,,,,,5,5,4,Biznet (Kabel),
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56B4DE2A-C0EF-42A3-B57A-2F50A57E7060,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69948071,SMK ALODIA,69948071,JL TAMAN BOUGENVILLE NO.1 RT 006/022,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Wisandya,AD7450,421.5/KEP.166-DISDIK/IV/2,21-04-2016,421.5/KEP.166-DISDIK/IV/2,21-04-2016,Lihat SK Operasional,2016-12-19 07,C,"2,429",1. Telkom Speedy,2. Telkom Speedy,PLN,02188382199,02188382199,smk.alodia@yahoo.com,http,-6.189301500000,106.985114100000,15,40,41,6,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Sehari Penuh/5 hari,,2022/2023-2,"21,000",6,0,1,3,0,0,12,4,15,0,0,0,4,11,0,12,3,5,0,0,3,3,3,1,5,10,,,,,,,,,,2,2,2,Telkom Speedy,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/86F99C8C-9108-4632-A2EE-02A9B0EF6A07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69945768,SMK BINA TUNGGAL MURANDIKA PUTRA BEKASI,69945768,JL RAYA H WAHAB AFFAN NO.1 PONDOK UNGGU,MEDAN SATRIA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Murandika Putra,AD7484,421.5/KEP.153-DISDIK/IV/2,22-04-2016,421.5/KEP.153-DISDIK/IV/2,22-04-2016,Lihat SK Operasional,2020-08-22 16,C,"2,227",1. -,2. Telkom Speedy,PLN & Diesel,,,smk.btmp.bekasi@gmail.com,http,-6.209700000000,106.977400000000,12,30,83,9,SMK 2013 REV. Farmasi Klinis dan Komunitas,Sehari Penuh/5 hari,,2022/2023-2,"5,000",11,4,2,2,0,0,13,1,12,0,0,0,1,11,0,10,2,3,3,4,1,0,1,0,6,6,,,,,,,,,,3,3,3,Tidak Ada,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5261B50-056C-4B33-A13B-6FC4E60E1D20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69947763,SMK NEGERI 13 KOTA BEKASI,69947763,"Marga Mulya, Kec. Bekasi Utara, Kota Bekasi, Jawa Barat Kode Pos 17142",PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421/022.D-DIK,06-01-2016,421.5/KEP.244-DISDIK/IV/2,19-04-2016,Silakan Upload SK (link file tidak valid) => [693129-400945--],2022-08-30 06,C,0,1. Lainnya,2. Lainnya,PLN,,,smknegeri13kotabekasi@gmail.com,http,-6.216600000000,106.992800000000,22,335,152,14,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Siang/6 hari,,2022/2023-2,"10,400",14,0,1,4,9,9,0,4,19,0,2,1,12,10,0,19,3,6,5,3,4,1,3,0,10,12,,,,,,,,,,4,6,4,Lainnya,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C4A4DC88-6A9D-47F0-976A-E7B8ADB808E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20268821,SMKS CIPTA KARYA,20268821,KALIABANG BUNGUR NO.2,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN ATTAQWA CABANG I PEJUANG,AD7470,800/3102 - DIKMEN/IX/2010,06-10-2010,800/3102-DIKMEN/IX/2010,06-10-2010,Lihat SK Operasional,2020-09-01 07,B,"10,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,02188984213,02188984213,smk-ck@yahoo.com,http,-6.178500000000,106.998900000000,16,149,51,7,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,,2022/2023-2,"12,000",9,1,1,10,1,0,13,3,15,0,1,0,5,11,0,12,4,1,6,0,4,2,2,1,11,5,,,,,,,,,,2,2,3,Telkomsel Flash,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/160D44DF-A1E8-49E0-B5DA-D7987C761A8D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253837,SMKS EKUIN PANGERAN JAYAKARTA,20253837,Jl. Pangeran Jayakarta 2 Rt. 001/006,HARAPAN MULYA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PANGERAN JAYAKARTA,AI2592,421/ kep/983-Binprog/VII/2008,31-07-2008,421/Kep/983-Binprog/VII/2008,31-07-2008,Silakan Upload SK (link file tidak valid) => [584788-710127--],2022-02-03 19,B,"2,100",1. XL (GSM),2. Telkom Speedy,PLN,02188969317,02188969317,smkekuinpangjay28@gmail.com,http,-6.225300000000,106.986000000000,16,58,65,6,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Pagi/6 hari,,2022/2023-2,"14,500",6,1,0,2,0,0,19,0,16,0,0,0,5,11,0,13,3,4,3,2,1,2,1,3,8,8,,,,,,,,,,2,2,2,XL (GSM),0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F398A6A2-C064-4D9C-8E5B-A0C32CC94465,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20276428,SMKS KESEHATAN PATRIOT 3,20276428,JL KALIBARU TIMUR,KALI BARU,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PATRIOT PENDIDIKAN BEKASI,AX0817,421.4/52-BPPT/V/2012,03-05-2012,421.5/KEP.80-Disdik/VI/2012,27-06-2012,Lihat SK Operasional,2020-08-26 12,A,"1,800",1. Telkomsel Flash,2. Telkom Speedy,PLN,02188965409,02188964189,smkkesehatanpatriot3bekasi@yahoo.co.id,,-6.214000000000,106.977500000000,18,10,172,6,SMK 2013 REV. Asisten Keperawatan,Pagi/6 hari,,2022/2023-2,"14,000",9,0,1,5,0,0,15,6,18,0,0,0,5,13,1,13,4,5,2,3,4,3,0,1,6,12,,,,,,,,,,2,2,2,Telkomsel Flash,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/39B90B8C-348A-480E-B093-EDE79EB39F04,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231738,SMKS MANDIRI,20231738,JL. RAYA SULTAN AGUNG KM 27 MEDAN SATRIA,MEDAN SATRIA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Baitul Muttaqin,AD7449,421.5/331 -Kesos/2002,05-09-2002,800/647-SK Dikbud/Dikmen/,16-09-2002,Lihat SK Operasional,2020-05-29 14,A,"1,680",1. Lainnya,2. Lainnya (Serat Optik),PLN,0218867348,0218867348,info.smkmandiri@gmail.com,http,-6.196400000000,106.973200000000,27,19,60,8,SMK 2013 REV. Desain  Grafika,Sehari Penuh/5 hari,,2022/2023-2,"53,000",10,0,1,2,1,0,25,8,26,0,1,0,3,24,2,24,1,5,8,1,9,1,2,1,10,17,,,,,,,,,,3,3,2,Lainnya,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/592E8A86-7255-4E41-87A4-2173D83F7C5E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223134,SMKS PATRIOT 1 BEKASI,20223134,JL. KALIBARU TIMUR KRANJI,KALI BARU,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PATRIOT PENDIDIKAN BEKASI,AX0817,1181/I02.5/M.79,27-11-1979,1/YPTB/1979,25-09-1979,Lihat SK Operasional,2023-02-16 20,A,"2,992",1. -,2. Telkom Speedy,PLN,02188965646,02188965646,smkspatriot1bekasi@gmail.com,http,-6.219800000000,106.977000000000,30,343,36,17,SMK 2013 REV. Teknik Kendaraan Ringan Otomotif,Pagi/6 hari,,2022/2023-2,"15,000",24,0,1,2,0,0,28,6,29,0,1,0,11,19,0,20,10,4,3,7,1,2,4,9,19,11,,,,,,,,,,6,5,6,Tidak Ada,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A8923D4A-D18C-44BE-8A30-A9C87A8C872D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231742,SMKS PATRIOT 2 BEKASI,20231742,KALIBARU TIMUR,KALI BARU,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PATRIOT PENDIDIKAN BEKASI,AX0817,395/I02/Kop/E/88,05-07-1988,395/I02/Kop/E/88,05-07-1988,Lihat SK Operasional,2023-02-10 07,A,"1,250",1. -,2. Telkom Speedy,PLN,02189453769,02189453769,smkpatriot2bekasi@gmail.com,,-6.219800000000,106.977000000000,15,1,152,6,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/6 hari,,2022/2023-2,0,17,0,2,1,0,0,14,2,15,0,0,0,9,6,0,13,2,0,2,0,1,7,2,3,3,12,,,,,,,,,,2,2,2,Tidak Ada,0
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CD3C62E-2BE7-4401-A33D-E6434E16F192,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223130,SMKS TAHTA SYAJAR BEKASI,20223130,"Jl.Sultan Agung, No.28, Kalibaru, Medan Satria, Kota Bekasi",KALI BARU,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMK,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPI Tahta Syajar,AD7487,421/1504-SK Dikbud/IX/2001,14-09-2001,421/1504-SK Dikbud/IX/2001,14-09-2001,Lihat SK Operasional,2022-02-03 07,B,"10,000",1. -,2. Lainnya (Wavelan),PLN,02188955124,02188955125,smktahtasyajar@gmail.com,http,-6.219900000000,106.974600000000,5,18,29,6,SMK 2013 REV. Teknik Komputer dan Jaringan,Siang/6 hari,,2022/2023-2,"23,000",6,0,1,1,0,0,7,0,5,0,0,0,1,4,0,5,0,2,0,1,1,1,0,0,3,2,,,,,,,,,,2,2,2,Tidak Ada,0
