prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D510DA25-740E-41BB-B789-F54CFA5C11A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2965954,PKBM FAJAR HARAPAN,P2965954,Jl. Selaturi Rt. 03/02,SAGANTEN,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,400/03/2009,01-06-2009,421.9/91/PAUDNI-K/KAB/2021,09-06-2021,Lihat SK Operasional,2022-09-29 06,B,"4,042",1. -,2. Telkom Speedy,PLN,,,PKBMFAJARHARAPAN99@gmail.com,,-7.449700000000,107.136600000000,7,0,0,33,Kursus Umum,Sehari Penuh/3 hari,,2022/2023-2,Tidak Ada,900,38,0,1,4,0,1,20,0,6,0,0,1,1,6,0,3,4,2,1,0,2,1,0,1,3,4
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D374B2A-7B4C-4150-A639-8773ADD29B4E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997916,PKBM GELAR TANGHI,P9997916,Kp. Padang,JAYAGIRI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/1453a/PAUDNI-K/KAB/2021,30-12-2021,421.9/1453a/PAUDNI-K/KAB/2021,30-12-2021,Lihat SK Operasional,2022-01-13 14,,"2,250",1. Indosat IM3,2. Telkom Speedy,PLN,,,,,.000000000000,.000000000000,5,0,0,4,Paket C IPA 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,799,2,0,0,0,0,0,5,1,5,0,0,0,0,5,0,3,2,3,1,0,0,1,0,0,4,1
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F745DE0F-67EF-4928-893C-4003CB4E9E83,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984645,PKBM JAYA MANDIRI,P9984645,Kp. Tipar Rt 01 Rw 14,MEKARLAKSANA,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/1a53b/PAUDNI-K/KAB/2021,21-06-2020,073/PKBM/JM/XII/2021,10-05-2019,Lihat SK Operasional,2022-01-24 00,B,200,1. Telkom Speedy,2. Telkomsel Flash,PLN,,,pkbmjayamandiri2019@gmail.com,,-7.370891500000,107.182687000000,1,0,0,8,2013,Sehari Penuh/3 hari,,2022/2023-2,Telkom Speedy,"1,500",7,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C5BFE923-81EE-49B7-A684-3E23776FF2C8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9952438,PKBM KARYA MANDIRI,P9952438,Jl. Sindangbarang - Agrabinta Km. 7 Kp. Tegallega Rt/Rw 07/03,TALAGASARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,271/14/SK/Kesra/2007,19-11-2007,421.9/1005/PAUDNI-K/KAB/2019,28-06-2019,Lihat SK Operasional,2019-07-26 09,C,0,1. -,2. Indosat Mentari,PLN,,,pkbmkaryamandiri2016@gmail.com,,-6.926400000000,107.163900000000,5,0,0,6,2013,Siang/6 hari,,2022/2023-2,Tidak Ada,450,8,0,0,0,3,1,0,1,2,0,2,1,4,1,0,5,0,0,1,0,1,0,1,2,4,1
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/73CBF403-14C9-4538-9412-F59F32C06B1F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984940,PKBM NEGERI SAMUDRA,P9984940,Kp. Cibolang RT. 02 RW. 04,HEGARSARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/1878/PAUDNI-K/KAB/2019,06-11-2019,421.9/1130/PAUDNI/KAB/2022,06-11-2019,Lihat SK Operasional,2022-11-01 05,,"1,600",1. -,2. Telkomsel Flash,PLN,,,,,-7.419983400000,107.201743900000,10,0,0,12,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,5,0,0,0,0,0,12,0,10,0,0,0,0,10,0,2,8,5,2,2,0,0,1,0,6,4
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A84073D-B31D-4FD4-8B27-EEBA9A6A7829,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998646,PKBM NUUR ILMI,P9998646,Kp. Gelarwangi RT 002 RW 002,MEKARLAKSANA,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Darul Ilmi Cianjur,AX6895,11/PKBM-DH/XI/2022,01-11-2022,421.9/238/PAUDNI/KAB/2023,07-12-2022,Lihat SK Operasional,2023-03-02 09,,"40,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,0,0,0,2,2013,Siang/6 hari,,2022/2023-2,Telkomsel Flash,900,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/85792B4F-A34C-4841-A504-3262FA1790D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9997764,PKBM PELITA NUSANTARA,P9997764,Kp. Cikaroya RT. 01 RW. 04,MUARACIKADU,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/927a/PAUDNI-K/KAB/2020,30-07-2020,421.9/927a/PAUDNI-K/KAB/2020,30-07-2020,Lihat SK Operasional,2021-10-22 01,,"1,360",1. Indosat IM2,2. Telkom Speedy,PLN,,,pkbmpelitanusantara01@gmail.com,,.000000000000,.000000000000,3,0,0,4,Paket C IPS 2013,Pagi/6 hari,,2022/2023-2,Indosat IM2,800,2,0,0,0,0,0,3,1,3,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,3,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97D7C2B5-1C6D-4C4C-B6A8-E27CA25EFDC6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984898,PKBM RIYADHUL HUDA,P9984898,"Kp. Datarlega Rt. 02 Rw, 01",HEGARSARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN RIYADHUL HUDA AL-JAZILIYAH,AJ6762,421.9/YYS/SK-PEN/IX/2019,11-11-2019,421.9/1129/PAUDNI/KAB/2022,26-09-2022,Lihat SK Operasional,2022-10-10 17,,"250,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-7.486308000000,107.367627600000,7,0,0,11,2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,3,0,0,0,0,0,7,1,7,0,0,0,0,7,0,1,6,5,1,1,0,0,0,0,2,5
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CF901E1-6743-4C28-827B-FAA91E66F625,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998299,PKBM SINAR MUTIARA,P9998299,Kp Citales Rt. 01 Rw. 02,KERTAMUKTI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,001/YDM/III/2022,08-03-2022,421.9/  396.a / PAUDNI/KAB/2022,13-04-2022,Lihat SK Operasional,2022-07-08 19,,500,1. Indosat IM3,2. Indosat IM3,PLN,,,pkbmsinarmutiara@gmail.com,,-7.432600000000,107.058400000000,4,0,0,2,2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,800,2,0,0,0,0,0,3,1,4,0,0,0,0,4,0,3,1,4,0,0,0,0,0,0,3,1
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5E34CBC5-17B0-400E-A4D1-BF28EB72DAF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998123,PKBM SULTAN BUKIT MARJAN,P9998123,Kp. Sukanagara Rt. 02 Rw. 03,JATISARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,50/13/Pm/IX/2022,10-02-2022,421.9/ 223 / PAUDNI/KAB/2022,08-03-2022,Lihat SK Operasional,2022-06-28 22,,500,1. Indosat IM3,2. Indosat IM3,PLN,,,pkbmsultanbukitmarjan@gmail.com,,.000000000000,.000000000000,6,0,0,4,Paket C IPS 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,800,2,0,0,0,0,0,3,3,6,0,0,0,0,6,0,0,6,5,0,1,0,0,0,0,3,3
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37A933AF-B4DB-40C3-8BB1-3D183452F7D7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996979,PKBM TRI SAKTI,P9996979,Kp. Jatinagara RT. 03 RW. 03,KERTASARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Nurul Azka Cianjur,AW8698,421.9/1163a/PKBMAM.K/KAB/2020,13-09-2020,421.9/1163a/PKBMAM.K/KAB/2020,13-09-2020,Lihat SK Operasional,2020-12-15 11,,0,1. Indosat IM3,2. Telkomsel Flash,PLN,,,pkbm.trisaktisdb@gmail.com,,-7.428500000000,107.070600000000,1,0,0,5,Paket C IPS 2013,Siang/6 hari,,2022/2023-2,Indosat IM3,450,6,0,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Jawa Barat,Kab. Cianjur,Sindang Barang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C25B3E8-DD26-4873-8A0C-65AE6CCECCF8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996280,PKBM TUNAS MUDA,P9996280,Kp. Sempor Rt/04 Rw/02,KERTASARI,KEC. SINDANG BARANG,KAB. CIANJUR,PROV. JAWA BARAT,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,41/01-Pm/XI/2019,02-12-2019,421.9/03/PAUDNI-K/Kab/2019,23-12-2019,Lihat SK Operasional,2022-02-14 11,,650,1. Indosat IM3,2. Indosat IM3,PLN,,,pkbmtunasmuda80@gmail.com,,-7.400920100000,106.998713400000,8,0,0,6,Paket C IPS 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,800,6,0,0,0,0,0,13,0,8,0,0,0,0,8,0,1,7,3,3,2,0,0,0,0,5,3
