prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,bujur,lintang,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0275054D-A93D-4DAB-912E-F2E0C0F90643,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302489,Sekolah Tinggi Ilmu Hukum Umel Mandiri,60302489,Jl. Raya Abepura Kotaraja - Jayapura Papua,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,2146DT2006,23-06-2006,,,Silakan Upload SK,,,997 m2,1.,2.,,0967- 5185136,0967- 588763,stih@umelmandiri.ac.id,www.umelmandiri.ac.id,140.670963000000,-2.605012000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D38202F8-7124-441E-ACE7-5DCE77D0A880,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70020300,Sekolah Tinggi Manajemen dan Ilmu Komputer Umel Mandiri,70020300,,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1291/KPT/I/2018,31-12-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,(0967) 5185136,(0967) 588736,humas@stmikumelmandiri.ac.id,http,140.671066100000,-2.605120100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1DAFB0DC-B865-44A4-8E3E-E2A3A8F12148,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70020349,Sekolah Tinggi Pastoral Kateketik Santo Yohanes Rasul Jayapura,70020349,"Komplek Taruna Bhakti Waena, Yabansai, Kec. Heram Rt. 02/ Rw.03 Kota Jayapura Pa",KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,DJ.IV/Hk.00.5/62/2012,11-05-2012,,,Silakan Upload SK,,,0 m2,1.,2.,,0967571146,0967571146,sekretariat@stpk-jayapura.ac.id,www.stpk-jayapura.ac.id,140.727940600000,-2.758193100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/785FF127-968C-4BCE-BCD2-F4E5331D8CC2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302491,Sekolah Tinggi Seni Papua,60302491,"Jalan Raya Sentani Km 17,8",KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,05,08-09-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04CF4E3A-4D94-4CCF-B28F-15546AB949E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021149,STAIN Al-Fatah Jayapura,70021149,"Jl Merah Putih, Buper Waena, Distrik Heram",KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,NEGERI,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,Perpres Nomor,18-10-2004,,,Silakan Upload SK,,,0 m2,1.,2.,,0967-572125,0967-572126,stainalfatah.jayapura@yahoo.com,www.stain-papua.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E2D7D25-0705-472B-AC86-17FE5EE3E258,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021228,STFT Gki Izaak Samuel Kijne Jayapura,70021228,Jalan Raya Sentani No 37 Padang Bulan-Abepura,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,039201986,22-05-1986,,,Silakan Upload SK,,,0 m2,1.,2.,,0967-583-076,0967-581-320,"sttiskijne@yahoo.com, stftgkiiskijne@gmail.com",https,140.656825000000,-2.608251000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45F09C12-FFC9-4763-909B-A7B13988B661,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021229,STFT GKI Izaak Samuel Kijne Jayapura,70021229,,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,,,,,Silakan Upload SK,,,0 m2,1.,2.,,0967-583076,0967-581-320,"sttiskijne@yahoo.com,stftgkiiskijne@gmail.com",https,140.657411900000,-2.608348500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4CF3DBF9-3081-4783-9073-EF411E2DFC56,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302492,STIE Ottow & Geissler Jayapura,60302492,Jalan Perkutut Kotaraja,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,340PN70PDT1981,05-02-1981,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3C42BEDA-111F-4D2C-93A4-087C632D54A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70021428,STIKOM Muhammadiyah Jayapura,70021428,Jalan Abepantai No 25 Tanah Hitam,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,181DO2001,26-09-2001,,,Silakan Upload SK,,,0 m2,1.,2.,,0967586714,0967586714,stikom.jayapura@yahoo.com,stikomjayapura.ac.id,140.678712000000,-2.614089700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3CAF4CFD-6CE4-4C5D-AD79-46D75995522D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302495,STISIP Silas Papare Jayapura,60302495,Jalan Diponegoro No 14 Jayapura,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,0434/0/1985,05-10-1985,,,Silakan Upload SK,,,0 m2,1.,2.,,09675163071,09675163071,stisipoljayapura@yahoo.co.id,www.stisipol-silaspapare-jayapura.com,140.695268400000,-2.544175800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2A68C1F-516B-4A6D-92E4-34E5C11BB68D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302497,Universitas Cenderawasih,60302497,Kampus Uncen Waena Jl Camp Wolker,KAMPUNG MOSSO,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,NEGERI,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,3891962,10-11-1962,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,140.655907200000,-2.582525100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43073357-A752-44FB-8E3E-ADFB7699933E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70022461,Universitas Muhammadiyah Papua,70022461,,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,937/M/2020,06-10-2020,,,Silakan Upload SK,,,0 m2,1.,2.,,,,umpapua@gmail.com,umpapua.ac.id,140.678711200000,-2.614074800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C64AD358-ABF8-4E3F-BDAA-B5209CD7D6A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70022512,Universitas Ottow Geissler,70022512,JALAN PERKUTUT KOTARAJA JAYAPURA - PAPUA,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Universitas,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,52/E/O/2011,23-03-2011,,,Silakan Upload SK,,,4.200 m2,1.,2.,,0967 581133,0967 581562,info.uogp@yahoo.com,www.uogp.ac.id,139.783116400000,-5.680350800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
