prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0EF37BC-0D26-E111-93AD-D1BF6587DCEE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301949,UPT SD NEGERI 11 RUMBIA,40301949,Sunggumanai,TOMPOBULU,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/960/DISDIKBUD-JP,01-05-1977,PERBU NOMOR 25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-26 22,B,2.025 m2,1. Smartfren,2. Smartfren,PLN,,,sd_sunggumanai@yahoo.co.id,,-5.438000000000,119.873000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/808F4ABC-0D26-E111-8468-D55F19B088FD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313673,UPT SD NEGERI 12 RUMBIA,40313673,Balewang,UJUNG BULU,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1979,01-01-1910,,01-01-1910,Silakan Upload SK,,C,600 m2,1. -,2. -,PLN,,,sdbalewang@gmail.com,,-5.435200000000,119.887000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E03A35BC-0D26-E111-86EB-D14E3DD4D152,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302030,UPT SD NEGERI 13 RUMBIA,40302030,Pangi,LEBANG MANAI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421-9/018/DP/IV/JP/1980,19-04-1980,421.9/485.b/DIKPORA-JP/IV/2013,15-04-2013,Lihat SK Operasional,2021-09-02 11,B,8.000 m2,1. -,2. Lainnya,PLN,041921118,,sdi_pangirumbia@yahoo.co.id,http,-5.510400000000,119.859800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40681FC4-0D26-E111-947B-B9EFAC742324,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301996,UPT SD NEGERI 14 RUMBIA,40301996,Kapasa,KASSI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,001/SK.P/SD.K/IX/1982,01-09-1982,420/961/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-25 12,C,1.710 m2,1. Smartfren,2. Telkomsel Flash,PLN,92371,,rahman_daengbonto@yahoo.co.id,,-5.473200000000,119.891400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0FE36BC-0D26-E111-BD47-55A0370E0B4A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301994,UPT SD NEGERI 15 RUMBIA,40301994,Jl. Pendidikan Tombolo,LEBANG MANAI UTARA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,NOMOR 25 TAHUN 2021,03-06-2021,420/964/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-28 00,C,150.000 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,085396775995,,sdi192lompodepa@gmail.com,http,-5.495900000000,119.865500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0D441BC-0D26-E111-839C-8145257004B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302014,UPT SD NEGERI 16 RUMBIA,40302014,Jl. Poros Belong-Malakaji,RUMBIA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421-9/65/DP/V/JP/1982,18-05-1982,NOMOR 25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-18 14,B,30.000 m2,1. -,2. Telkom Speedy,PLN,,,sdino193pallantikang@yahoo.com,http,-5.488400000000,119.860000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0F81CC4-0D26-E111-8BBD-81688AAE25EC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313674,UPT SD NEGERI 17 RUMBIA,40313674,Kacicci,JENETALLASA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,NOMOR 25 TAHUN 2021,03-06-2021,NOMOR 25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-18 14,B,25.000 m2,1. -,2. -,PLN,,,sdiparangtalasa@gmail.com,,-5.422700000000,119.914100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F09037BC-0D26-E111-A54B-2359E144DB30,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313672,UPT SD NEGERI 18 RUMBIA,40313672,Tanetea,PALLANTIKANG,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,420/967/DISDIKBUD-JP,17-05-1982,PERBU NO. 25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-09-02 11,B,1.500 m2,1. -,2. -,PLN,0,,uptsdnegeri18rumbia@gmail.com,http,-5.473700000000,119.872600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B08735BC-0D26-E111-BB28-F11A955CF6C2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313675,UPT SD NEGERI 19 RUMBIA,40313675,Jl. Poros Pabaeng-baeng-Bantaeng Dusun Bonto Sunggu,LEBANG MANAI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421-9/78/DP/VII/JP/1982,31-12-1982,NOMOR 25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-18 14,C,10.000 m2,1. -,2. -,PLN,085398039565,,primaryschool219pabaengbaeng@gmail.com,http,-5.518800000000,119.863200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A08748BC-0D26-E111-9D8A-A1CD30CA17CB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301828,UPT SD NEGERI 2 RUMBIA,40301828,Kompasa,LOKA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,05/06/2021,25-09-1941,,01-01-1910,Lihat SK Operasional,2021-09-02 11,B,2.000 m2,1. Indosat IM2,2. Lainnya (Kabel),PLN,,,sdn25kompasa@yahoo.co.id,,-5.443800000000,119.897600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E06F20C4-0D26-E111-8162-79561B03E41C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302001,UPT SD NEGERI 20 RUMBIA,40302001,Bukkulu,LOKA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,035/SDI-237/BKL/III/1983,03-03-1983,420/969/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-24 18,C,10.000 m2,1. -,2. -,PLN,,,sdi237bukkulu@gmail.com,,-5.446800000000,119.888700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0B236BC-0D26-E111-AED5-4752079D053F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302051,UPT SD NEGERI 21 RUMBIA,40302051,Sarroanging,BONTOMANAI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,045/SDI-238/SR/XII/1984,31-12-1984,420/970/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-24 18,B,3.000 m2,1. -,2. -,PLN,,,,,-5.479900000000,119.851900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/606137BC-0D26-E111-81FB-47CF4447739E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313671,UPT SD NEGERI 22 RUMBIA,40313671,Biring Romang,UJUNG BULU,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,01-07-1987,21-06-1987,25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-31 10,B,1.242 m2,1. Telkomsel Flash,2. -,PLN,,,Rumbiauptdsdn22@gmail.com,,-5.406800000000,119.919400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B09268BB-0D26-E111-9B2A-BB206509F531,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69787200,UPT SD NEGERI 23 RUMBIA,69787200,Pattumbu,KASSI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Nomor 33 Tahun 2016,27-01-2016,NOMOR 25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-18 14,C,25.000 m2,1. -,2. -,PLN,085330828920,,sdnegerino264pattumbui@gmail.com,http,-5.481218500000,119.859956200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/000343BC-0D26-E111-ABD3-5924E206CE42,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313904,UPT SD NEGERI 24 RUMBIA,40313904,Balebalang,BONTOTIRO,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,420/973/DISDIKBUD-JP,27-01-2016,PERBU NO.25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-24 08,C,224 m2,1. Indosat IM3,2. Indosat IM3,PLN,,,salmabalebalang@gmail.com,,-5.462100000000,119.871900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0E367BB-0D26-E111-8BE5-33EC48D866AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313677,UPT SD NEGERI 25 RUMBIA,40313677,Kayu Colo,UJUNG BULU,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Nomor 33 Tahun 2016,27-01-2016,Nomor,03-08-2021,Lihat SK Operasional,2021-10-11 13,C,1.120 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,0,,sdnegerino266@gmail.com,http,-5.427900000000,119.895500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40DC42BC-0D26-E111-B0AC-473F1DB4AC93,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313895,UPT SD NEGERI 26 RUMBIA,40313895,Rumbia,RUMBIA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,NOMOR 25 TAHUN 2021,03-06-2021,420/995/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-25 12,C,1.500 m2,1. -,2. -,PLN,,,sdnno267rumbia@yahoo.com,http,-5.508800000000,119.844500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0C79615-6200-E211-A9C2-91DF1D6AB79D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729293,UPT SD NEGERI 27 RUMBIA,60729293,Dusun Lompodepa,LEBANG MANAI UTARA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Nomor 33 Tahun 2016,27-01-2016,420/976/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-09-02 11,C,1.170 m2,1. Telkomsel Flash,2. -,PLN,,,sdn268jenetallasa@gmail.com,,-5.495900000000,119.878300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90DFEB30-74FE-E111-ACC0-A144005B54EF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40314613,UPT SD NEGERI 28 RUMBIA,40314613,Rumbia,LOKA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421 9/023A/DP/7/JP/2009,07-01-2009,421 9/023A/DP/7/JP/2009,07-01-2009,Lihat SK Operasional,2021-09-02 11,C,220 m2,1. -,2. Telkomsel Flash,Tidak Ada,0,0,sdkbontobulueng@ymail.com,,-5.522800000000,119.842400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
