prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80191679-2FF5-E011-8C74-0F18996AF31A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307469,SD NEGERI 07 TELADAN BUKITTINGGI,10307469,Jl. Panorama No.12a,BUKIT CANGANG KAYU RAMANG,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1952-01-02,02-01-1952,420/030/DPMPTSPPTK/IOLP/2021,01-01-1910,Lihat SK Operasional,2022-11-03 06,A,1.864 m2,1.,2.,,,,,,-.307500000000,100.368300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50281679-2FF5-E011-9897-75A3C85F2F03,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307472,SD NEGERI 08 TAROK DIPO,10307472,Jl.Teja Kusuma Bukittinggi,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,006,01-01-1977,420/04/DPMPTSPPTK-PPA/1-2019,25-01-2019,Silakan Upload SK (link file tidak valid) => [630098-962878--],2022-06-02 07,A,2.000 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,,0752628238,sdn08tarokdipobkt@gmail.com,,-.311747000000,100.381092000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0F81679-2FF5-E011-BED1-1B24137CDAB4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307476,SD NEGERI 10 AUR TAJUNGKANG TENGAH SAWAH,10307476,Jln. Pemuda,AUR TAJUNGKANG TENGAH SAWAH,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1979,,01-01-1910,Silakan Upload SK,,A,1.625 m2,1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,,0752628621,sdn10atts@gmail.com,http,-.299061000000,100.369435000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0451679-2FF5-E011-9282-B5A59DD560D9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307480,SD NEGERI 11 BUKIT APIT PUHUN,10307480,Jl. Bukit Apit,BUKIT APIT PUHUN,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1953,16-08-1953,420/015/DPMPTSPPTK/IOLP/2021,30-03-2021,Lihat SK Operasional,2023-02-14 15,A,1.600 m2,1. -,2. Telkom Speedy,PLN,,075233049,sdn11bukitapitpuhun.bkt@gmail.com,,-.300702000000,100.361083000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0541679-2FF5-E011-A7AF-19AEBD603652,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307482,SD NEGERI 12 BUKIT CANGANG,10307482,Jl.Tan Malaka,BUKIT CANGANG KAYU RAMANG,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1981,03-02-1981,420/014/DPMPTSPPTK/IOLP/2021,01-01-1910,Lihat SK Operasional,2021-11-01 10,A,818 m2,1. -,2. Telkom Speedy,PLN,,626264,sdnduabelas_bcbkt@yahoo.com,,-.310502000000,100.369915000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50631679-2FF5-E011-B254-AB647DBC8C95,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307564,SD NEGERI 13 BUKIT APIT PUHUN,10307564,Jl.tdr Bukit Apit,BUKIT APIT PUHUN,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,42/,01-07-1981,420/016/DPMPTSPPTK/IOLP/2021,07-04-2021,Lihat SK Operasional,2023-02-23 15,A,2.071 m2,1. Telkomsel Flash,2. Telkom Speedy,PLN,0,07527003237,sdn13_bap@yahoo.com,,-.296700000000,100.358400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0711679-2FF5-E011-B519-E1CB735B4DA0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307485,SD NEGERI 14 ATTS,10307485,Jl.pemuda,AUR TAJUNGKANG TENGAH SAWAH,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1991,,01-01-1910,Silakan Upload SK,,A,2.484 m2,1. -,2. Telkom Speedy,PLN,,0752626203,sdn14attsbukittinggi@yahoo.com,,-.299482000000,100.369150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60801679-2FF5-E011-9098-F1CC3B1C1808,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307490,SD NEGERI 16 TAROK DIPO,10307490,Jl.Iskandar Tedja Sukmana,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0000,01-01-1910,420/06/DPMPTSPPTK-PPA/I-2019,01-02-2019,Lihat SK Operasional,2022-06-02 07,A,2.255 m2,1.,2.,,,,,,-.310403000000,100.381603000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C08F1679-2FF5-E011-B03E-C37710148FAA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307492,SD NEGERI 17 PAKAN KURAI,10307492,Jl.Hamka Gurun Panjang,PAKAN KURAI,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-07-1967,420/010/DPMPTSPPTK/IOLP/2022,11-05-2022,Lihat SK Operasional,2023-03-13 13,A,1.989 m2,1. -,2. Lainnya (Serat Optik),PLN,,0752624882,pakankurai17@gmail.com,,-.304300000000,100.379000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E09E1679-2FF5-E011-9B36-0B58B69555DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307494,SD NEGERI 18 TAROK DIPO,10307494,Jl. Ujung Bukit,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-07-1982,400.3/004/DPMPTSP/IO-SD/2023,01-01-1910,Lihat SK Operasional,2023-03-17 10,A,1.645 m2,1.,2.,,,,,,-.309185000000,100.378270000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0AF1679-2FF5-E011-B155-33A4EE5F7FD2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307495,SD NEGERI 19 ATTS,10307495,Jl.unggek Dt.bagindo,AUR TAJUNGKANG TENGAH SAWAH,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1982-01-01,01-01-1982,420/040/DPMPTSPPTK/IOLP/2022,01-01-1910,Lihat SK Operasional,2023-02-08 09,A,1.531 m2,1.,2.,,,,,,-.307538000000,100.375753000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B08B5679-2FF5-E011-93FA-21C4EE7AA26F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307499,SD TRISULA PERWARI,10307499,Jl.syech ibrahim musa No 44A,AUR TAJUNGKANG TENGAH SAWAH,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,148/KPTS/BAPS/M/MN/2010,17-08-1958,420 / 056 / DPMPTSPPTK / IOLP / 2020,01-12-2020,Lihat SK Operasional,2020-12-21 14,C,16.200 m2,1. -,2. Lainnya (Serat Optik),PLN,,0752624838,,,-.306472000000,100.372953000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7B645538-FD94-4B09-B999-BCDB2503A5BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888492,SDI SJECH M. DJAMIL DJAMBEK,69888492,"Jln. Sjech M. Djamil Djambek, No. 13",PAKAN KURAI,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Syech Muhammad Djamil Djambek,AM0809,02/SK/YYs-SMDD/III/2013,01-03-2013,420/01/BP2TPM-PM-PP/TS/20,03-12-2014,Lihat SK Operasional,2015-01-29 09,C,1.200 m2,1. -,2. Telkom Speedy,PLN,,,sdislamsjechdjamildjambek@yahoo.co.id,http,-.303685000000,100.375112000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A637B232-A7DE-4CD2-82F8-15514C8CAD38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70001084,SDIT ADZKIA BUKITTINGGI,70001084,Jl. Prof. Hamka No. 33,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Adzkia Sumatera barat,AF0415,14,04-08-2010,420/009/DPMPTSPPTK/IOLP/2020,26-02-2020,Lihat SK Operasional,2020-03-18 12,,10.000 m2,1. Smartfren,2. Telkom Speedy,PLN,,,sditadzkiabkt@gmail.com,http,-.295625600000,100.354290000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0C55679-2FF5-E011-A74C-B9393B9BBB80,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307945,SDIT AL AZHAR DARUL JANNAH,10307945,Jl. TDR Parak kongsi,BUKIT APIT PUHUN,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN ISLAM AL-AZHAR BUKITTINGGI,AM0793,C.197.HT.03.01.TH.1992,08-05-1993,420/060/DPMPTSPPTK/IOLP/2020,11-12-2020,Lihat SK Operasional,2020-12-18 19,A,8.486 m2,1. -,2. Telkom Speedy,PLN,,075221114,sds_alazhar@yahoo.com,http,-.296428000000,100.357460000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumatera Barat,Kota Bukittinggi,Guguk Panjang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10A95679-2FF5-E011-AE5F-F36F43D05BA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10307449,SDIT INSAN KAMIL,10307449,Jl Sutan Syahrir,TAROK DIPO,KEC. GUGUK PANJANG,KOTA BUKITTINGGI,PROV. SUMATERA BARAT,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AQABAH,AM0800,36,28-11-1973,420/039/DPMPTSPPTK/IOLP/2022,29-09-2022,Lihat SK Operasional,2023-03-16 13,B,5.408 m2,1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,,075222204,insankamil.sdit@yahoo.com,,-.313743000000,100.382202000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
