prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/804B3DD9-2EF5-E011-8818-3597C3BC570F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204645,UPT. SD NEGERI 07 PERKEBUNAN PETATAL,10204645,Perkebunan Petatal,PERKEBUNAN PETATAL,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,17-10-1962,21 Tahun 2020,03-03-2020,Lihat SK Operasional,2021-12-23 15,B,"2,400",1. Lainnya,2. Lainnya,PLN,,,sdn010160prekpetatal@yahoo.co.id,,3.153700000000,99.525400000000,8,70,77,6,Pagi/6 hari,,2022/2023-2,900,4,0,0,1,6,0,0,2,3,0,4,1,6,2,0,6,2,1,2,0,3,1,0,1,3,5,1,1,1,1,1,1,0,2,2,2,0,0,0,0,SD 2013,Lainnya,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/809846D8-2EF5-E011-9F1E-118D76722C3F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204644,UPT. SD NEGERI 08 BANGUN SARI,10204644,Dsn. VI Harapan Jaya,BANGUN SARI,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,05-06-1975,,01-01-1910,Lihat SK Operasional,2020-03-17 10,B,"5,097",1. Smartfren,2. Telkomsel Flash,PLN,,,sdn010161@gmail.com,,3.121900000000,99.553800000000,10,98,105,9,Pagi/6 hari,,2022/2023-2,900,5,0,1,4,4,1,0,5,7,0,3,0,5,5,0,9,1,1,3,3,0,1,2,0,3,7,2,1,1,2,1,2,5,0,0,4,1,0,0,0,SD 2013,Smartfren,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0FFEADC-2EF5-E011-BB7F-79809081F271,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203781,UPT. SD NEGERI 10 BANGUN SARI,10203781,Jl. Swadaya Dusun II Madya,BANGUN SARI,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,590/049/SKT-BS/XII/T.2006,06-01-1978,,01-01-1910,Lihat SK Operasional,2020-03-17 10,Sertifikat Kedaluwarsa,"4,896",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdn35bangunsari@yahoo.co.id,,3.118200000000,99.549100000000,12,152,132,9,Pagi/6 hari,,2022/2023-2,416,8,0,1,0,9,0,0,3,4,2,5,1,6,6,1,10,1,2,0,3,1,4,1,1,2,10,2,2,2,1,1,1,0,0,8,0,0,0,1,0,SD 2013,Telkomsel Flash,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00723CD9-2EF5-E011-AA61-E17B31B33373,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203780,UPT. SD NEGERI 11 KARANG BARU,10203780,Karang Baru,KARANG BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,05-05-1977,,01-01-1910,Lihat SK Operasional,2020-03-17 10,Sertifikat Kedaluwarsa,"3,987",1. Telkomsel Flash,2. Lainnya (Kabel),PLN,0,0,uptdsdn11karangbaru@gmail.com,,3.141600000000,99.525400000000,10,112,88,9,Pagi/6 hari,,2022/2023-2,900,3,0,1,2,4,2,0,4,7,0,3,0,3,7,0,6,4,2,1,4,2,0,1,0,1,9,2,1,2,1,2,1,0,0,3,3,0,0,1,0,SD 2013,Telkomsel Flash,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80803CD9-2EF5-E011-84AC-717B4BAC34AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203779,UPT. SD NEGERI 12 SUMBER TANI,10203779,Dusun II Pasar Kacang I,SUMBER TANI,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1978,01-01-1978,,01-01-1910,Lihat SK Operasional,2020-03-17 10,A,"7,296",1. Indosat IM3,2. -,PLN,,,uptdsdn12sumbertani@gmail.com,,3.164900000000,99.545900000000,9,65,54,6,Pagi/6 hari,,2022/2023-2,900,5,0,1,1,4,0,0,5,5,0,3,1,6,3,0,7,2,1,1,2,1,1,2,1,1,8,1,1,1,1,1,1,2,1,2,1,1,0,0,0,SD 2013,Indosat IM3,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/001DEBDC-2EF5-E011-A141-B70A55AA3804,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203769,UPT. SD NEGERI 13 BINJAI BARU,10203769,Dusun IV Purwosari,BINJAI BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,79/80/1986,10-03-1987,800.04/451/1987,10-03-1987,Lihat SK Operasional,2020-03-17 10,A,"461,000",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,sdn015887binjaibaru@gmail.com,,3.125400000000,99.552000000000,15,165,118,12,Pagi/6 hari,,2022/2023-2,"1,200",16,0,1,2,6,0,0,9,9,1,2,3,6,9,1,10,4,4,3,1,2,1,0,4,1,14,2,2,2,2,2,2,16,0,0,0,1,0,0,0,SD 2013,Telkomsel Flash,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90CB3CD9-2EF5-E011-869B-A31433E6D495,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203768,UPT. SD NEGERI 14 KARANG BARU,10203768,Jalan Pelajar Dusun IV,MEKAR BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-12-1979,,01-01-1910,Lihat SK Operasional,2020-03-17 10,B,"4,376",1. Indosat IM3,2. Telkom Speedy,PLN,,,uptdsdn14karangbaru@gmail.com,http,3.136900000000,99.503300000000,8,77,67,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,3,1,0,4,6,0,1,1,3,5,0,7,1,2,1,2,1,1,0,1,2,6,1,1,1,1,1,1,0,4,2,1,0,0,0,1,SD 2013,Indosat IM3,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80DB3CD9-2EF5-E011-BA2F-D3214F56EC87,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10203826,UPT. SD NEGERI 15 KARANG BARU,10203826,Dsn. Vi,KARANG BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1981,,01-01-1981,Lihat SK Operasional,2020-03-17 10,B,"4,304",1. Telkomsel Flash,2. Telkom Speedy,PLN,0,,bersonjakki@gmail.com,http,3.142600000000,99.527000000000,8,75,47,6,Pagi/6 hari,,2022/2023-2,900,0,0,2,0,2,1,0,5,7,1,0,0,2,6,0,7,1,4,1,1,2,0,0,0,1,7,1,1,1,1,1,1,0,0,0,6,0,2,0,0,SD 2013,Telkomsel Flash,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C06E47D8-2EF5-E011-AD44-AB33092D8654,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204212,UPT. SD NEGERI 16 KARANG BARU,10204212,Dusun V Merbau Kanan,KARANG BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,17-07-1983,,01-01-1910,Silakan Upload SK (link file tidak valid) => [605765-970656--],2022-03-23 06,B,"3,300",1. -,2. Telkomsel Flash,PLN,,,uptd.sdn16k.baru@gmail.com,https,3.122600000000,99.528600000000,7,64,60,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,2,0,0,5,6,0,0,1,3,4,1,4,2,2,1,3,0,0,0,1,0,7,1,1,1,1,1,1,0,5,1,0,0,1,0,0,SD 2013,Tidak Ada,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/607D47D8-2EF5-E011-9A09-F76CD617099A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204211,UPT. SD NEGERI 17 SEI MUKA,10204211,DUSUN KALIREJO,SEI MUKA,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,13-04-1983,,13-07-1983,Lihat SK Operasional,2022-08-22 00,B,"2,866",1. Lainnya,2. Lainnya,PLN,,,sdn017117.seimuka@gmail.com,http,3.151400000000,99.599900000000,9,62,58,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,4,2,0,3,6,1,2,0,6,3,0,9,0,1,1,2,3,1,0,1,1,8,1,1,1,1,1,1,0,6,0,0,0,1,0,0,SD 2013,Lainnya,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4045EAA6-4E9E-4F31-A67C-7717D923B4B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69984375,UPT. SD NEGERI 18 GLUGUR MAKMUR,69984375,DUSUN IV DESA GLUGUR MAKMUR,GLUGUR MAKMUR,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,385/DISDIK/2018,20-08-2018,421.2/1794.a-SR,17-07-2017,Lihat SK Operasional,2020-03-17 10,,"2,100",1. -,2. -,PLN,,,sdn018485@gmail.com,,3.209765000000,99.567853000000,8,96,79,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,2,3,0,3,6,0,2,0,4,4,0,8,0,1,2,2,1,2,0,0,0,8,1,1,1,1,1,1,6,0,0,0,1,0,0,0,SD 2013,Tidak Ada,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/406E1DDA-2EF5-E011-8CC6-953A05DB1B7E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10260903,UPT. SMP NEGERI 1 DATUK TANAH DATAR,10260903,Desa Karang Baru,KARANG BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,1984-12-31,31-12-1984,1984-12-31,31-12-1984,Lihat SK Operasional,2023-05-11 14,B,"12,400",1. -,2. Lainnya (Kabel),PLN,0,,smpnsatudatuktanahdatar@gmail.com,http,3.142400000000,99.526800000000,26,199,194,13,Siang/6 hari,,2022/2023-2,"1,200",13,0,1,2,19,1,0,6,7,0,14,5,13,13,1,21,4,4,3,5,5,1,4,4,8,18,,,,,,,13,0,0,0,1,0,0,0,SMP 2013,Tidak Ada,4,4,5
