prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6035E814-31F5-E011-910B-D33479C42B08,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102142,SD NEGERI 2 KELIKI,50102142,Keliki,KELIKI,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,12/P/19/1970,01-01-1968,12/P/19/1970,11-09-1974,Silakan Upload SK,,B,"1,729",1. Telkom Speedy,2. Telkom Speedy,PLN & Diesel,,0361981419,sdn2keliki@gmail.com,,-8.449900000000,115.262300000000,10,87,80,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,900,6,0,1,1,6,0,0,4,5,0,1,4,7,3,0,7,3,3,1,1,0,1,1,3,4,6,6,0,0,0,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E001E714-31F5-E011-AC27-BD3C32C34B58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102257,SD NEGERI 2 KENDERAN,50102257,Br. Dlod Blungbang,KENDRAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,4/SB/I/6-1982.,01-07-1982,420/2465.1/DISDIK,16-12-2021,Lihat SK Operasional,2021-12-28 19,A,"1,650",1. Smartfren,2. Lainnya (Kabel),PLN,,,sdn.2kenderan@yahoo.co.id,,-8.435400000000,115.293400000000,8,57,46,6,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,900,6,0,1,2,5,0,0,3,4,0,3,1,7,1,0,8,0,0,3,0,2,0,2,1,5,3,6,0,0,0,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4058E714-31F5-E011-9ED0-51A202511D9C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102265,SD NEGERI 2 PUPUAN,50102265,Br. Perean Pupuan,PUPUAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,351129111174,14-07-1974,251129111174,27-07-1974,Silakan Upload SK (link file tidak valid) => [602799-872222--],2022-03-16 11,A,0,1. Indosat IM3,2. Lainnya (Satelit),PLN,0,,sdn2pupuan@gmail.com,,-8.341800000000,115.327700000000,9,83,59,6,SD 2013,Pagi/6 hari,,2022/2023-2,Indosat IM3,900,6,0,1,1,2,0,0,7,7,0,2,0,4,5,0,9,0,3,3,2,1,0,0,0,7,2,0,6,0,0,0,0,1,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C092E714-31F5-E011-8D82-AF84A113CA6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102281,SD NEGERI 2 SEBATU,50102281,Br Pujung Kaja,SEBATU,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,56/SB/f/6/BI,01-08-1964,420/104/DISDIK,13-01-2022,Silakan Upload SK (link file tidak valid) => [595158-847423--],2022-02-24 22,B,"1,701",1. Axis,2. Lainnya (Serat Optik),PLN,,,sd2sebatu@yahoo.com,,-8.406000000000,115.287000000000,8,80,67,6,SD 2013,Pagi/6 hari,,2022/2023-2,Axis,"1,300",4,0,1,3,5,0,0,3,4,0,3,1,4,4,0,7,1,1,2,4,0,0,0,1,2,6,0,2,2,2,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60DDE714-31F5-E011-9FD1-11F2F1EC4939,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102277,SD NEGERI 2 TARO,50102277,Jln. Taro,TARO,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2324/DISDIK,10-12-2021,,01-01-1968,Lihat SK Operasional,2023-02-10 11,A,"3,520",1. Telkom Speedy,2. Telkom Speedy,PLN,0,03618988827,sekolahdasarduataro@yahoo.com,,-8.405900000000,115.279700000000,8,53,63,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,900,6,0,1,4,3,0,0,5,7,0,1,0,3,5,0,8,0,3,4,1,0,0,0,0,3,5,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50ABE614-31F5-E011-BEB8-0F550C115516,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102268,SD NEGERI 2 TEGALLALANG,50102268,"Br. Pejengaji, Tegallalang",TEGALLALANG,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/2474.1/DISDIK,01-08-1959,420/2474.1/DISDIK,01-01-1910,Lihat SK Operasional,2022-01-13 16,A,800,1. -,2. Telkom Speedy,PLN,0,03619082076,s2tegallalang@gmail.com,,-8.449200000000,115.277700000000,8,98,98,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,0,2,3,0,0,5,6,0,1,1,5,3,0,8,0,0,3,2,2,0,0,1,3,5,1,1,4,0,0,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/603BE714-31F5-E011-B233-C7D0D8BD9E16,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102189,SD NEGERI 3 KEDISAN,50102189,Br. Kedisan Kelod,KEDISAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,42/PD/II/1974,01-04-1976,42/PD/II/4/1974,01-04-1976,Silakan Upload SK,,B,"1,596",1. Telkomsel Flash,2. Telkom Speedy,PLN,0,0,sdn3kedisan@gmail.com,,-8.424000000000,115.291400000000,8,68,62,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,5,0,1,1,7,0,0,1,2,0,6,0,9,-1,0,8,0,1,2,0,0,0,4,1,5,3,0,0,5,0,0,0,1,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C043E814-31F5-E011-8E63-EF73BE930038,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102190,SD NEGERI 3 KELIKI,50102190,Jln.raya Sebali,KELIKI,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,42/Pd/II/4/1974,01-01-1910,,27-09-1976,Silakan Upload SK,,A,"2,400",1. -,2. Telkom Speedy,PLN,0,,tigakeliki@gmail.com,,-8.470100000000,115.259900000000,7,35,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,1,2,4,0,0,3,5,0,2,0,5,2,0,6,1,0,3,2,0,0,1,1,2,5,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6010E714-31F5-E011-93A8-3B480FB1FB5E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102193,SD NEGERI 3 KENDERAN,50102193,Kenderan,KENDRAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,911968,01-01-1968,,01-01-1910,Silakan Upload SK,,B,"1,464",1. XL (GSM),2. Biznet (Kabel),PLN,,03619085764,kenderan3@gmail.com,,-8.467700000000,115.285500000000,8,51,42,6,SD 2013,Pagi/6 hari,,2022/2023-2,XL (GSM),900,6,0,1,1,7,0,0,1,2,0,5,1,8,0,1,6,1,0,1,2,0,2,2,1,3,5,1,5,0,0,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0067E714-31F5-E011-ACE7-6F81D0EC6D45,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102231,SD NEGERI 3 PUPUAN,50102231,Ds. Calo,PUPUAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,47/47/II.78,01-01-1978,,01-01-1910,Lihat SK Operasional,2022-06-24 08,B,200,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn3pupuan@gmail.com,,-8.399600000000,115.306900000000,8,70,57,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,6,0,1,0,3,0,0,5,6,0,2,0,6,2,0,8,0,1,4,1,0,1,1,0,4,4,0,0,6,0,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0A2E714-31F5-E011-9ED8-032F46AE8F6C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50102215,SD NEGERI 3 SEBATU,50102215,Br. Sebatu,SEBATU,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,12/P/1970,01-01-1967,12/P/1970,01-01-1970,Silakan Upload SK,,B,"1,137",1. XL (GSM),2. Telkom Speedy,PLN,,036119082619,sdn3sebatu@gmail.com,,-8.404000000000,115.296400000000,8,41,49,6,SD 2013,Sehari Penuh/6 hari,,2022/2023-2,XL (GSM),900,6,0,0,1,5,0,0,3,4,0,1,3,5,3,2,6,0,0,4,0,0,0,1,3,5,3,0,6,0,0,0,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80ECE714-31F5-E011-9C11-85886A2BBF78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101957,SD NEGERI 3 TARO,50101957,Br. Pisang Kaja,TARO,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,93/68,01-01-1968,420/2528/DISDIK,27-12-2021,Lihat SK Operasional,2021-12-29 15,A,0,1. -,2. Lainnya,PLN,,,sdn3taro@yahoo.com,http,-8.351600000000,115.307200000000,8,68,53,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,1,2,3,0,0,5,7,0,1,0,6,2,0,8,0,2,2,1,1,1,1,0,2,6,6,0,0,0,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0B9E614-31F5-E011-9236-6D488B3658D2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101969,SD NEGERI 3 TEGALLALANG,50101969,Br. Sapat,TEGALLALANG,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,12/P/1970,01-01-1970,NO.12/PP/1970,01-01-1910,Silakan Upload SK,,B,"3,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,981370,sdntigategallalang@yahoo.co.id,,-8.473400000000,115.277500000000,8,43,45,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",6,0,1,1,7,0,0,1,2,0,4,2,8,0,0,8,0,1,1,1,0,0,2,3,2,6,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1076E714-31F5-E011-842A-038055A8E260,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101992,SD NEGERI 4 PUPUAN,50101992,Br. TIMBUL,PUPUAN,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/2/139/SP,01-07-1983,421/2/139/SP,01-07-1983,Silakan Upload SK (link file tidak valid) => [686078-11356--],2022-08-25 12,B,"1,500",1. Lainnya (Serat Optik),2. Lainnya (Kabel),PLN,0,,sdnempatpupuan@yahoo.com,,-8.369800000000,115.322700000000,9,82,65,6,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya (Serat Optik),"3,500",6,0,1,4,5,0,0,4,6,0,2,1,5,4,1,7,1,2,2,4,0,0,0,1,4,5,6,0,0,0,1,0,0,0,1,1,1,1,1,1,,,
Bali,Kab. Gianyar,Tegallalang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0B1E714-31F5-E011-BCB5-F3C000895404,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50101995,SD NEGERI 4 SEBATU,50101995,Br. Bilukan,SEBATU,KEC. TEGALLALANG,KAB. GIANYAR,PROV. BALI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,SKP. GUB. No. PPD/11/76,29-07-1976,,29-07-1976,Lihat SK Operasional,2021-08-27 13,B,"1,750",1. -,2. Lainnya (Wavelan),PLN,0,,sdn4sebatu@gmail.com,,-8.394200000000,115.292400000000,8,34,38,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",5,0,1,2,4,0,0,4,6,0,1,1,6,2,0,7,1,3,2,1,0,1,1,0,2,6,0,5,0,0,0,1,0,0,1,1,1,1,1,1,,,
