prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9052FDC1-0D26-E111-B61C-A7EA3CA07B8D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308495,UPT SD NEGERI 198 INPRES BONTORITA,40308495,Biraeng,AENG BATU-BATU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,06-01-1981,,01-01-1910,Silakan Upload SK,,B,0,1. Indosat IM3,2. -,PLN,0,,sdn.inpresbontorita@yahoo.com,,-5.249900000000,119.392200000000,9,103,89,7,Pagi/6 hari,,2022/2023-2,450,0,0,1,0,4,2,0,3,6,0,2,1,4,5,1,7,1,1,1,4,0,0,2,1,2,7,0,0,0,7,0,0,1,0,,,,SD 2013,Indosat IM3,1,1,1,1,2,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0391CC2-0D26-E111-B633-53DC53918012,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308353,UPT SD NEGERI 199 INPRES BONTOLANRA,40308353,Bontolanra,BONTO LANRA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1991,,01-01-1910,Silakan Upload SK,,B,330,1. Smartfren,2. Telkom Speedy,PLN,,,sdn_199bontolanra@yahoo.com,,-5.242800000000,119.391600000000,7,60,48,6,Pagi/6 hari,,2022/2023-2,900,0,0,0,0,3,0,0,4,4,0,1,2,4,3,2,4,1,0,1,1,1,1,1,2,1,6,0,0,0,6,0,0,0,0,,,,SD 2013,Smartfren,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/608A25C2-0D26-E111-AC35-E3AF61AA53D1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308496,UPT SD NEGERI 200 INPRES BONTOKADDOPEPE,40308496,Bontokaddopepe,BONTOKADDOPEPE,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"1,237",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,bontokaddopepe200@gmail.com,,-5.260700000000,119.426500000000,8,70,46,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,1,6,0,0,2,3,1,3,1,3,5,0,5,3,0,2,4,0,0,1,1,1,7,3,0,3,0,0,0,1,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E090FEC1-0D26-E111-B374-3BB2934941D9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308507,UPT SD NEGERI 213 INPRES KABALLOKANG,40308507,Kaballokang,BONTO LANRA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1982,,01-07-1983,Silakan Upload SK,,C,"2,450",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,nurmi.accounting@yahoo.com,,-5.245700000000,119.397400000000,9,50,49,6,Pagi/6 hari,,2022/2023-2,450,5,0,0,2,4,0,0,5,6,0,1,2,4,5,0,7,2,3,0,3,0,0,0,3,1,8,5,0,0,1,0,0,0,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/205EE0C1-0D26-E111-8B31-47D24BEEEBD0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308508,UPT SD NEGERI 214 INPRES PANGKAJENE,40308508,Pangkajene,PAKKABBA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1964,,01-01-1910,Silakan Upload SK,,B,"1,584",1. Indosat IM3,2. Indosat IM3,PLN,,,sdn214pangkajene@gmail.com,,-5.232500000000,119.400700000000,8,62,65,6,Pagi/6 hari,,2022/2023-2,450,6,0,0,0,3,2,0,3,6,0,2,0,4,4,0,8,0,1,1,2,2,0,2,0,1,7,0,0,6,0,0,0,0,1,,,,SD 2013,Indosat IM3,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/005FFAC1-0D26-E111-9D1E-DDF8757AD95B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301618,UPT SD NEGERI 85 CENTRE BONTOLEBANG,40301618,Jl. Bauru Dg Gau,BONTOLEBANG,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,0,1. 3 (Tri),2. Telkom Speedy,PLN,,,Tedymash0761@gmail.com,,-5.262100000000,119.383500000000,8,112,97,7,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,4,0,0,4,5,0,3,0,4,4,0,8,0,1,0,2,1,0,3,1,1,7,0,0,6,0,0,0,1,0,,,,SD 2013,3 (Tri),2,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A02321C2-0D26-E111-9243-5F747790AD1B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301617,UPT SD NEGERI 86 AENG TOWA,40301617,Aeng Towa,AENG TOWA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,124/UPTD.4/TU/2012,01-01-1910,124/UPTD4/TU/2012,01-01-1910,Lihat SK Operasional,2021-08-31 11,A,"1,300",1. -,2. Telkomsel Flash,PLN,,,sdn86aengtowa@gmail.com,,-5.221200000000,119.389800000000,9,97,80,7,Pagi/6 hari,,2022/2023-2,"1,400",4,0,0,2,3,0,1,5,7,0,1,1,3,6,1,7,1,1,2,1,2,0,3,0,2,7,0,1,3,3,0,0,0,0,,,,SD 2013,Tidak Ada,1,1,1,1,1,2
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/605321C2-0D26-E111-A5E7-97A72C031DD6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301616,UPT SD NEGERI 87 TAMANROYA,40301616,Tamanroya,AENG BATU-BATU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"1,672",1. Smartfren,2. Smartfren,PLN,,,sdn87tamanroya@gmail.com,,-5.228000000000,119.385800000000,16,113,126,11,Pagi/6 hari,,2022/2023-2,450,12,0,0,1,2,5,0,9,14,1,0,1,3,13,0,14,2,1,7,3,0,3,1,1,3,13,0,4,8,0,0,0,0,1,,,,SD 2013,Smartfren,2,2,1,2,2,2
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0D5DFC1-0D26-E111-81DD-E7C97B0D90A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301615,UPT SD NEGERI 88 AENG BATU-BATU,40301615,Jl. Pendidikan Dusun Kunjung Mae,BONTO LANRA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,841,1. Telkomsel Flash,2. -,PLN,,,sdn88aengbatubatu@gmail.com,,-5.238200000000,119.393700000000,7,41,45,6,Pagi/6 hari,,2022/2023-2,431,3,0,0,0,1,2,0,4,6,1,0,0,1,6,0,5,2,0,0,2,2,0,3,0,1,6,0,0,3,3,0,0,0,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20AA1BC2-0D26-E111-8DA5-8B55EDC4D5C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308430,UPT SD NEGERI 89 PAKKABBA,40308430,KABALLOKANG,BONTO LANRA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-01-1961,,01-01-1910,Silakan Upload SK,,B,903,1. Telkomsel Flash,2. -,PLN,,,sdn89pakkabba@gmail.com,,-5.240600000000,119.398800000000,8,74,79,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,4,0,0,4,4,1,1,2,4,4,1,5,2,1,1,3,0,0,1,2,1,7,5,0,1,0,0,0,0,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4016FBC1-0D26-E111-A6FA-5780A3316E06,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301614,UPT SD NEGERI 90 SAMPULUNGAN,40301614,Sampulungan,TAMASAJU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"1,485",1. Smartfren,2. Telkomsel Flash,PLN,0411,,sdn90sampulungan@gmail.com,http,-5.245600000000,119.384000000000,8,57,73,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,0,2,2,0,4,6,0,2,0,4,4,0,7,1,1,1,3,1,1,1,0,1,7,0,4,2,0,0,0,0,0,,,,SD 2013,Smartfren,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0E721C2-0D26-E111-BCDC-B9AA4DD6A975,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308432,UPT SD NEGERI 91 SOREANG,40308432,Jl. Pendidikan Soreayang,TAMALATE,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"5,625",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0411,,sdn91soreyang@yahoo.com,http,-5.258600000000,119.381400000000,9,104,95,8,Pagi/6 hari,,2022/2023-2,450,6,0,1,0,4,1,0,4,5,2,0,2,3,6,0,8,1,2,0,1,1,2,2,1,2,7,6,0,0,0,0,1,0,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,2,2
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6071DFC1-0D26-E111-95F7-BD5F3D0AA4A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301612,UPT SD NEGERI 92 TABARINGAN,40301612,Tabaringan,BONTOLEBANG,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,5029/DPPO-SEK/2013,01-01-1910,5028/DPPO-SEK/2013,30-11-1971,Lihat SK Operasional,2018-10-18 19,B,"3,348",1. Smartfren,2. Telkomsel Flash,PLN,,,sdtabaringan92@gmail.com,,-5.260400000000,119.395800000000,7,86,61,6,Pagi/6 hari,,2022/2023-2,900,0,0,0,0,3,1,0,3,4,1,1,1,2,5,0,7,0,1,1,2,1,1,0,1,2,5,0,0,0,6,0,0,0,2,,,,SD 2013,Smartfren,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E03BE2C1-0D26-E111-A809-F32B50F3C166,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301611,UPT SD NEGERI 93 SAWAKUNG BEBA,40301611,Sawakung,TAMASAJU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,900,1. Telkom Speedy,2. Telkom Speedy,PLN,0411,,sdn_sawakungbeba@yahoo.com,http,-5.269900000000,119.382200000000,7,52,39,6,Pagi/6 hari,,2022/2023-2,450,3,0,0,0,5,0,0,2,3,0,3,1,5,2,0,7,0,0,1,0,3,1,1,1,1,6,3,0,0,3,0,0,0,0,,,,SD 2013,Telkom Speedy,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E06F22C2-0D26-E111-B3A4-7D4A45629E78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301610,UPT SD NEGERI 94 BEBA,40301610,Beba,TAMASAJU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,40301610,01-01-1974,800/863/DISDIKBUD-SEK/IV/2022,12-04-2022,Lihat SK Operasional,2022-05-09 09,B,"75,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0411,,sdn_94beba@yahoo.com,http,-5.275800000000,119.376300000000,10,119,135,8,Pagi/6 hari,,2022/2023-2,450,8,0,0,0,4,0,0,6,6,1,1,2,5,5,2,6,2,1,2,3,1,0,1,2,2,8,0,8,0,4,0,0,0,1,,,,SD 2013,Telkomsel Flash,1,1,1,2,2,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E09E22C2-0D26-E111-898E-C1C2BF779A23,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301609,UPT SD NEGERI 95 CAMPAGAYA,40301609,Campagaya,TAMASAJU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,0,1. Smartfren,2. Telkomsel Flash,PLN,,,sdn95campagaya@gmail.com,,-5.278300000000,119.378200000000,8,76,74,6,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,4,2,0,2,4,0,1,3,5,3,0,7,1,0,0,2,0,1,3,2,1,7,0,2,0,4,0,0,0,0,,,,SD 2013,Smartfren,1,1,1,1,1,1
