prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/305A3EBC-0D26-E111-B792-7775B75811EF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40314667,UPT SD NEGERI 12 TAROWANG,40314667,Borongloe,BONTORAPPO,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,03 AGUSTUS 2021,01-01-1910,420/DISDIKBUD-JP,01-01-1910,Lihat SK Operasional,2021-09-02 11,B,3.750 m2,1. Indosat IM2,2. Indosat IM3,PLN,,,irfandjaja_ppkhb@yahoo.com,,-5.592500000000,119.842600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0DA3DBC-0D26-E111-B6CF-1712B81F3CD8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302040,UPT SD NEGERI 13 TAROWANG,40302040,Bungung Koncia,BONTO UJUNG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01/01/81,01-01-1981,,01-01-1981,Lihat SK Operasional,2021-09-02 11,B,2.280 m2,1. Smartfren,2. Telkomsel Flash,PLN,,,sdinpresbungungkoncia@gmail.com,,-5.577800000000,119.874300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40F83CBC-0D26-E111-B30A-95D359264CB2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302058,UPT SD NEGERI 14 TAROWANG,40302058,Kassi-kassi,BALANG LOE TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,07/08/1983,31-12-1983,,29-11-1909,Lihat SK Operasional,2021-09-02 11,B,3.375 m2,1. Indosat IM3,2. Jardiknas,PLN,,,armannai77@gmail.com,,-5.600600000000,119.880500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C01F3DBC-0D26-E111-905D-E17F239ACDED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302057,UPT SD NEGERI 15 TAROWANG,40302057,Bontomasugi,BALANG BARU,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,15-05-1982,,01-01-1910,Silakan Upload SK,,B,3.500 m2,1. Telkomsel Flash,2. Smartfren,PLN,,,bontomasugi225sdi@gmail.com,http,-5.580000000000,119.865100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/907D3DBC-0D26-E111-9B29-051DF7EAD994,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302010,UPT SD NEGERI 16 TAROWANG,40302010,Parang Sialla,TINO,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,SK/P/1983,31-12-1983,420/16/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-09-02 11,B,1.664 m2,1. Smartfren,2. XL (GSM),PLN,,,sdinpres242kanang2@gmail.com,,-5.562400000000,119.885200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/802C3EBC-0D26-E111-8A7B-AF405DEC770E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302007,UPT SD NEGERI 17 TAROWANG,40302007,Pao,P A O,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,00000,12-09-1997,420/1025/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-23 08,B,1.627 m2,1. Lainnya,2. Lainnya,PLN,,,sdi252pao@gmail.com,,-5.612100000000,119.854200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A08E38A8-1FDF-E111-BB5D-1B5741FB1DA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40314538,UPT SD NEGERI 18 TAROWANG,40314538,Bonto Baru,BALANG BARU,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Nomor 33 Tahun 2016,27-01-2016,420/1026/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-24 19,C,1.600 m2,1. Indosat IM3,2. Telkomsel Flash,PLN,,,sdn.263bontobaru@gmail.com,,-5.606200000000,119.868900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/405139BC-0D26-E111-A806-97FD7B3F4FBB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301919,UPT SD NEGERI 2 TAROWANG,40301919,Tarowang,TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,00000,01-08-1952,420/1010/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-22 11,B,3.300 m2,1. Lainnya,2. Lainnya,PLN,,,sdnaltar09@gmail.com,,-5.600700000000,119.858800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80B239BC-0D26-E111-83BC-7F8DB3E3E29C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301824,UPT SD NEGERI 3 TAROWANG,40301824,Balang Loe,BALANG LOE TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-12-1926,,01-01-1910,Silakan Upload SK,,B,1.300 m2,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-5.594500000000,119.883900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/702F3CBC-0D26-E111-9C5C-5F6CA1EF79BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301843,UPT SD NEGERI 4 TAROWANG,40301843,Paccinongan,TINO,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,01/1948,31-12-1948,420/1.012/DISDIKBUD-JP,01-01-1910,Lihat SK Operasional,2021-08-20 14,A,2.500 m2,1. Telkom Speedy,2. Telkom Speedy,PLN,,,,,-5.578300000000,119.905200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0F03ABC-0D26-E111-B6ED-33C42706032D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313663,UPT SD NEGERI 5 TAROWANG,40313663,Kanang-kanang,TINO,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,101190505025,31-12-1954,420/   /DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-27 12,B,"1,485",1. Telkomsel Flash,2. Indosat IM3,PLN,,,sdn43kanangkanang@gmail.com,,-5.559600000000,119.875600000000,9,53,46,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,1,1,0,3,0,0,6,6,0,0,3,5,4,0,7,2,3,0,2,1,0,0,3,2,7,1,1,1,1,1,1,6,0,0,0,0,0,1,0
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A08839BC-0D26-E111-A654-4173A8280F79,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301884,UPT SD NEGERI 6 TAROWANG,40301884,Goyang,ALLU TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,800",1. Telkomsel Flash,2. Indosat IM3,PLN,,,sdnno.77goyang@yahoo.com,,-5.574700000000,119.849800000000,12,84,75,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,450,5,0,1,1,3,0,0,9,9,0,2,1,4,8,0,8,4,0,1,3,5,0,2,1,2,10,1,1,1,1,1,1,3,0,2,1,0,1,0,0
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20F738BC-0D26-E111-B59B-6F19BB3800A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301796,UPT SD NEGERI 7 TAROWANG,40301796,Kampung Beru,P A O,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,31-12-1961,31-12-1961,420/1015/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-09-02 11,B,"2,380",1. -,2. Smartfren,PLN,,,sdn78pao@gmail.com,http,-5.616000000000,119.862000000000,14,126,131,9,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,9,0,1,2,6,0,0,8,11,0,2,1,7,7,0,12,2,4,5,3,0,1,0,1,4,10,1,1,1,2,2,2,9,0,0,0,1,0,0,0
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0FF39BC-0D26-E111-9A31-7D7FF704A8C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301891,UPT SD NEGERI 8 TAROWANG,40301891,Bontokatangka,BONTO UJUNG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,SK/P/1946,25-07-1946,428/8/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-09-02 11,C,"1,200",1. Smartfren,2. XL (GSM),PLN,,,sdnbontokatangka@gmail.com,,-5.593700000000,119.746100000000,9,57,46,6,SD 2013,Pagi/6 hari,,2022/2023-2,Smartfren,900,6,0,1,2,3,0,0,6,7,2,0,0,4,5,0,7,2,3,1,3,0,1,1,0,5,4,1,1,1,1,1,1,2,4,0,0,0,1,0,0
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20A03ABC-0D26-E111-A932-436AB405D9B3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313661,UPT SD NEGERI 9 TAROWANG,40313661,Bontowa,BALANG BARU,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0000000,31-12-1974,420/...../DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-08-19 11,B,"6,060",1. -,2. Lainnya (Wavelan),PLN,,,sdi_bontowa@yahoo.co.id,http,-5.596800000000,119.871600000000,9,41,41,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,1,0,1,0,3,0,0,6,6,0,3,0,4,5,0,7,2,2,0,2,2,0,2,1,2,7,1,1,1,1,1,1,0,0,1,5,0,1,0,0
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0DA3DC0-0D26-E111-AF4E-85A8D19A6ADF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301846,UPT SMP NEGERI 1 TAROWANG,40301846,Jl. Kp. Bendi,P A O,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,003/DP-MN/JP/XI/1984,20-11-1984,Nomor,18-07-2018,Lihat SK Operasional,2021-08-26 12,B,20.000 m2,1. Telkomsel Flash,2. 3 (Tri),PLN,,,hasmah1385@gmail.com,,-5.610000000000,119.853200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50043EC0-0D26-E111-B64D-8B95E1ABEDF7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301877,UPT SMP NEGERI 2 TAROWANG,40301877,Bonto Ujung,BONTO UJUNG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/1115/DISDIKBUD-JP,04-08-2021,001/I/1999,05-01-1999,Lihat SK Operasional,2021-08-25 21,B,11.090 m2,1. -,2. Telkom Speedy,PLN,,,smpn2_013tarowang@yahoo.com,,-5.589900000000,119.894800000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Tarowang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0CB9515-6200-E211-8E8B-9910F284AFA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40316712,UPT SMP NEGERI 3 TAROWANG,40316712,Jl. Poros Jeneponto-Bantaeng,BALANG LOE TAROWANG,KEC. TAROWANG,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1154/C3/DS/2008,13-05-2008,098/DP/V11/2008,10-07-2008,Lihat SK Operasional,2021-08-18 12,B,6.000 m2,1. Lainnya,2. Lainnya,PLN,,,smpn3tarowang81@gmail.com,,-5.597417000000,119.876765000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
