prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/407328BD-0D26-E111-B8F7-4F1B1828E5C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304932,UPT SDI TAMBOLONGAN BARAT NO 122 KEPULAUAN SELAYAR,40304932,Tambolongan,TAMBOLONGAN,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,02-11-1975,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-24 20,C,"2,000",1. -,2. -,Tenaga Surya,0,0,sdtambolongan@ymail.com,,-6.613000000000,120.428600000000,10,39,51,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,4,3,0,3,6,2,2,0,2,8,1,8,1,0,1,4,2,1,0,2,4,6,3,3,0,0,0,1,0,0,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A02429BD-0D26-E111-997E-AFBB5CA41244,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304843,UPT SDI TAMBOLONGAN TIMUR NO 124 KEPULAUAN SELAYAR,40304843,Tambolongan,TAMBOLONGAN,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,11-03-1991,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,"1,980",1. Telkomsel Flash,2. Telkomsel Flash,Lainnya,,,sdi_tambolongantimur@yahoo.com,,-6.607900000000,120.439200000000,9,21,20,6,Pagi/6 hari,,2022/2023-2,260,6,0,1,1,3,2,0,4,6,1,2,0,2,7,0,6,3,1,5,0,1,0,1,1,2,7,0,6,0,0,0,1,0,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80C06ABB-0D26-E111-96D8-C9278013F85B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304925,UPT SDI TOMBANGANGIA NO 74 KEPULAUAN SELAYAR,40304925,Tombangangia,LANTIMBONGAN,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,07-01-1977,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2021-07-05 12,B,0,1. Indosat IM3,2. Telkomsel Flash,PLN,,,upt.sdi.74.kepulauanselayar@gmail.com,,-6.369300000000,120.476200000000,12,62,63,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,4,5,0,0,7,7,1,3,1,5,7,1,10,1,3,2,1,1,1,3,1,5,7,6,0,0,0,0,1,0,0,1,1,1,1,1,1,,,,SD 2013,Indosat IM3
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/907927BD-0D26-E111-A812-65F9C19728B8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304799,UPT SDN APPATANAH NO 121 KEPULAUAN SELAYAR,40304799,Appatanah,APPATANAH,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,08-01-1960,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,0,1. -,2. Telkomsel Flash,PLN,,,uptsdn121kepsel@gmail.com,,-6.491300000000,120.482800000000,10,38,39,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,4,1,0,5,7,0,2,1,6,4,0,8,2,0,2,3,1,1,3,0,3,7,1,5,0,0,0,1,0,0,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A02827BD-0D26-E111-9C24-9744A7327328,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304798,UPT SDN BAHULUANG NO 34 KEPULAUAN SELAYAR,40304798,Bahuluang,KHUSUS BAHULUANG,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,06-02-1961,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,0,1. -,2. -,Tidak Ada,,,uptsdn34kepsel@gmail.com,,-6.483300000000,120.431300000000,9,17,12,6,Pagi/6 hari,,2022/2023-2,0,15,0,0,0,3,2,0,4,6,0,2,1,4,5,1,6,2,0,1,5,2,0,1,0,2,7,15,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/706F29BD-0D26-E111-AF65-8BF74B290D78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304796,UPT SDN BARANG-BARANG NO 31 KEPULAUAN SELAYAR,40304796,Barang-Barang,LOWA,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,07-07-1960,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,0,1. Telkomsel Flash,2. Indosat IM3,PLN,,,uptsdn31kepulauanselayar@gmail.com,,-6.409000000000,120.472200000000,10,26,20,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,0,3,2,0,5,7,0,3,0,4,6,0,8,2,2,1,3,2,0,0,2,2,8,1,5,0,0,0,0,0,1,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70A227BD-0D26-E111-BA44-F93B9F5CE6A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304804,UPT SDN BINANGA BENTENG NO 14 KEPULAUAN SELAYAR,40304804,Binanga Benteng,BINANGA SOMBAIYA,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,07-18-1936,18-07-1936,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,C,"2,500",1. -,2. -,PLN & Diesel,,,sdnbinangabenteng@yahoo.co.id,,-6.341500000000,120.472200000000,11,13,18,6,Pagi/6 hari,,2022/2023-2,0,6,0,1,2,3,3,0,5,8,0,1,2,5,6,1,8,2,2,2,4,0,0,2,1,0,11,2,0,4,0,1,0,0,0,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00CC26BD-0D26-E111-ABC0-6996213CF4E5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304770,UPT SDN LAIYOLO NO 52 KEPULAUAN SELAYAR,40304770,Laiyolo,LAIYOLO BARU,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,1971,02-01-1971,26 tahun 3018,17-05-2018,Lihat SK Operasional,2019-01-13 02,B,0,1. Telkomsel Flash,2. Lainnya (Kabel),PLN,0,0,uptsdn52@yahoo.com,,-6.266500000000,120.484700000000,9,28,20,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,2,3,1,0,5,6,0,2,1,6,3,1,7,1,1,0,6,1,0,0,1,4,5,0,6,0,0,0,0,1,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00CE28BD-0D26-E111-ADCD-25AD7A31353E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304776,UPT SDN LEMBANGIA NO 49 KEPULAUAN SELAYAR,40304776,Lembangia,PATIKARYA,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1969,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-26 19,C,"4,800",1. Indosat IM3,2. Indosat IM3,PLN,,,uptsdn49kepsel@gmail.com,,-6.229700000000,120.461300000000,10,20,15,6,Pagi/6 hari,,2022/2023-2,900,0,0,1,0,7,1,0,2,3,0,7,0,8,2,0,9,1,1,1,3,2,1,1,1,1,9,0,0,0,6,1,0,0,0,1,1,1,1,1,1,,,,SD 2013,Indosat IM3
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10F827BD-0D26-E111-B702-95E9A2CF3E45,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304779,UPT SDN MAJA-MAJA NO 103 KEPULAUAN SELAYAR,40304779,Jammeng,LAIYOLO BARU,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,07-01-1962,26 Tahun 2018,17-05-2018,Lihat SK Operasional,2019-01-13 02,C,0,1. -,2. -,Tenaga Surya,,,Sdn.majamaja@yahoo.co.id,,-6.265400000000,120.532900000000,9,14,15,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,0,6,1,0,2,3,1,4,1,4,5,0,9,0,0,0,1,7,0,1,0,1,8,0,6,0,0,0,0,0,0,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/909F28BD-0D26-E111-8254-919D2A7F44CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304785,UPT SDN PARIANGAN NO 67 KEPULAUAN SELAYAR,40304785,Pariangan,HARAPAN,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1957,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-19 03,B,"25,650",1.,2.,PLN,,,,,-5.860800000000,120.510400000000,18,93,99,6,Pagi/6 hari,,2022/2023-2,"1,300",12,0,1,2,8,0,0,10,12,3,1,2,8,10,1,15,2,1,3,6,1,3,1,3,4,14,12,0,0,0,0,0,1,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0F926BD-0D26-E111-BC14-55422DC009BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304783,UPT SDN POLASSI NO 48 KEPULAUAN SELAYAR,40304783,Polassi,POLASSI,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,25-02-1968,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,"1,400",1. -,2. -,Tenaga Surya,,,uptsdn48kepulauanselayar@gmail.com,,-6.682500000000,120.436500000000,15,82,88,9,Pagi/6 hari,,2022/2023-2,600,9,0,1,1,4,5,0,6,11,1,3,0,6,9,0,11,4,0,4,4,2,1,4,0,4,11,8,0,1,0,0,0,1,0,2,1,2,2,1,1,,,,SD 2013,Tidak Ada
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/909C26BD-0D26-E111-ADC6-6F117F85DCF4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304848,UPT SDN REAIYA NO 30 KEPULAUAN SELAYAR,40304848,Reaiya,PATILERENG,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1960,03-01-1960,26 tahun 2018,17-05-2018,Lihat SK Operasional,2019-01-13 02,B,"1,560",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,Uptsdn30kepulauanselayar@gmail.com,http,-6.208500000000,120.488700000000,10,25,28,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,2,7,2,0,1,3,3,2,2,6,4,1,4,5,0,1,2,0,1,2,4,3,7,6,0,0,0,1,0,0,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0CEF4BC-0D26-E111-B71C-298D1FB1948B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304840,UPT SDN TILE-TILE NO 9 KEPULAUAN SELAYAR,40304840,Tile-tile,PATIKARYA,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,05-07-1929,05-07-1929,26 Tahun 2018,17-05-2018,Lihat SK Operasional,2019-01-13 02,B,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,uptsdn9kepulauanselayar@gmail.com,,-6.239700000000,120.448300000000,12,60,38,6,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,1,5,1,0,6,7,0,5,0,6,6,0,12,0,2,1,2,3,2,1,1,3,9,5,1,0,0,0,1,0,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
