prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1DBDE613-314E-4BDC-A8AC-0D52A7D406A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69880254,SMK PANDU 2,69880254,Jl.RAYA CIAMPEA KM 15 RT 03 RW 08,CIBADAK,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al 'Aadiyaat Bogor,AN8955,01 TAHUN 2014,11-06-2014,421.3/135-DIKMEN,08-12-2014,Silakan Upload SK (link file tidak valid) => [81633.PDF],2014-12-10 10,B,"9,205",1. -,2. Telkom Speedy,PLN,,02518592195,smkpandu2bogor@gmail.com,http,-6.599867000000,106.704102000000,27,198,142,14,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"3,500",13,0,1,0,0,0,11,17,27,0,0,0,2,25,0,20,7,18,3,2,2,1,0,1,8,19,4,6,4,0,13,0,0,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CDC2CB4F-D2F7-46FA-80DC-78CF03DFEC38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69981358,SMK YAPAN 1 CIAMPEA,69981358,Jl. Purnawarman Pabuaran Poncol RT05/03 Ciampea,CIAMPEA,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Amanah Tenjolaya,AJ6285,421.4/458-Dikmen,26-03-2015,421.4/458-Dikmen,26-03-2015,Lihat SK Operasional,2022-01-21 16,B,"1,368",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smkyapanciampea01@gmail.com,,-6.535400000000,106.691900000000,11,83,51,4,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"1,300",5,0,1,2,0,0,9,3,11,0,0,0,2,9,0,6,5,2,0,1,3,3,1,1,6,5,1,2,1,0,1,4,0,0,0,1,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1AB3BB96-066E-4D9E-B3FB-922F59CD7A1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20232478,SMKS AGRI INSANI,20232478,"JL. CIBANTENG PROYEK, DS CIHIDEUNG ILIR RT 04 RW 03",CIHIDEUNG ILIR,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENGEMBANGAN AGRI INSANI MANDIRI,AJ6330,46/102/Kep/E/90,24-10-2019,46/I02/KEP/E90,24-04-1990,Lihat SK Operasional,2022-04-17 03,B,"2,520",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,smkagri_insani@yahoo.co.id,http,-6.565100000000,106.722100000000,12,27,16,3,SMK 2013 REV. Agribisnis Tanaman Pangan dan Hortikultura,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"3,300",5,0,1,4,0,0,11,3,12,0,0,0,2,10,0,12,0,1,1,0,1,3,3,3,8,4,1,1,1,0,2,3,0,0,0,1,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0FDA4FA5-E8CD-4889-89E9-DE96AA786DD6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69725856,SMKS BINTANG PELAJAR,69725856,Jl. cibadak Karang Mas Rt.02/03,CIBADAK,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PENDIDIKAN PEMBANGUNAN ISLAM,AJ6277,421/146 Disdik,,432/146 DISDIK,,Silakan Upload SK,,C,"2,025",1. Telkom Speedy,2. Telkom Speedy,PLN,,,smksbintangpelajar@gmail.com,,-6.565400000000,106.712900000000,16,84,70,4,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"13,000",5,0,0,2,0,0,7,11,16,0,0,0,0,16,0,11,5,0,4,1,3,4,2,2,6,10,2,1,1,0,0,4,1,0,0,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/97C2CB2D-F582-4872-ABA1-70BB055108AF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20271250,SMKS CIPTA INSANI,20271250,Jl. Aki Mena Rt. 01/04 Kp. Cinangka Wates,CINANGKA,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,067/SK/Y-Ihwal/VII/2011,01-06-2011,421/84-disdik,03-08-2011,Lihat SK Operasional,2016-02-15 07,B,250,1. Lainnya,2. Indosat IM3,PLN,0,02518428529,ciptainsani.smk@gmail.com,http,-6.586400000000,106.699700000000,8,28,50,3,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"1,200",3,0,0,2,0,0,5,4,8,0,0,0,0,8,1,6,1,5,2,0,0,0,0,1,2,6,1,1,1,0,3,0,0,0,0,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FB701B74-D034-44B1-B019-3AE8B9C0F923,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253293,SMKS FARMASI GALENIUM,20253293,JL RAYA CIBANTENG,CIHIDEUNG ILIR,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan SUKSES MADUMA,AD7118,42511/206 Disdik,31-01-2008,42511/206 Disdik,31-01-2008,Lihat SK Operasional,2015-09-14 13,B,"1,200",1. -,2. Telkom Speedy,PLN,,,smkfarmasigalenium7@gmail.com,,-6.563000000000,106.721800000000,11,20,73,3,SMK 2013 REV. Farmasi Klinis dan Komunitas,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,300",10,1,1,2,0,0,9,3,10,0,0,1,2,9,0,9,2,2,2,1,0,3,1,2,5,6,1,1,1,0,10,0,0,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2067932-A500-4DBF-B2A5-32296901A5E2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20276162,SMKS GEO INFORMATIKA,20276162,JL. CIHIDEUNG ILIR RT.06 RW.02 CIAMPEA,CIHIDEUNG ILIR,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Tunas Madani Sejahtera,AJ6238,421/166 DISDIK,11-07-2012,421/337-DIKMEN,22-03-2013,Lihat SK Operasional,2021-08-30 14,A,"1,800",1.,2.,PLN,,0251/8623715,info_smk@geoinformatika.s,www.smkgeoinformatika.sch.id,-6.571500000000,106.724900000000,26,231,45,11,SMK 2013 REV. Teknik Geomatika,Sehari Penuh/5 hari,,2022/2023-2,3 (Tri),"11,000",9,2,2,2,0,0,17,10,26,0,0,0,4,22,1,21,4,7,3,8,1,4,2,1,15,11,4,3,4,0,0,9,0,0,0,2,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0058862C-B114-47A1-97B6-51357B84B8E6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10648860,SMKS KESEHATAN PELITA,10648860,JL. RAYA WARUNG BORONG CIAMPEA,BOJONG RANGKAS,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan NURUL WALIDAIN T.H,AJ6249,200/YNW/VI/2011,02-06-2011,421/88-Disdik,10-06-2011,Lihat SK Operasional,2021-01-20 12,B,"2,800",1. Telkom Astinet,2. Telkom Astinet,PLN,02518627289,02518627289,smkkesehatan342.pelita@gmail.com,,-6.553600000000,106.697300000000,42,31,254,9,SMK 2013 REV. Farmasi Klinis dan Komunitas,Pagi/6 hari,,2022/2023-2,Telkom Astinet,"3,500",10,1,1,2,0,0,34,11,42,0,0,0,20,22,1,38,3,5,9,10,8,4,4,2,15,27,4,2,3,0,10,0,0,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C802A8CE-A02F-4D59-B766-1EB7D953F5F1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69755462,SMKS MADANI,69755462,JL ABDUL FATAH KM 4 BABAKAN NYAMPLUNG,CINANGKA,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan pendidikan pondok pesantren tarbiyatul falah madani,AJ6254,01/Kpts/YP-TF/V/2007,,425.11/204-DISDIK,,Silakan Upload SK,,B,"1,912",1. Indosat IM3,2. Telkom Speedy,PLN,,,smk.madanisatu@gmail.com,http,-6.585300000000,106.705400000000,15,118,141,8,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Sehari Penuh/5 hari,,2022/2023-2,Indosat IM3,"3,500",11,0,1,0,0,0,16,2,15,0,0,0,0,15,1,13,1,4,1,3,2,0,3,2,4,11,3,3,2,0,0,3,8,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/64EFF2A2-5D21-405B-8792-A1039E70ACDB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69754226,SMKS MADANI 2,69754226,JL. ABDUL FATAH KM 4 BABAKAN NYAMPLUNG,CINANGKA,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",yayasan pendidikan pondok pesantren tarbiyatul falah madani,AJ6254,102/Kep.YPPP-TF/V/2012,31-07-2012,421/515-DISDIK,31-07-2012,Lihat SK Operasional,2023-02-17 08,B,"10,000",1. -,2. Telkom Speedy,PLN,,,smkmadani2@gmail.com,,-6.580800000000,106.706200000000,14,183,24,8,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,9,1,1,1,0,1,12,4,14,0,0,0,1,13,1,13,0,2,2,4,1,0,3,2,6,8,3,2,3,0,5,3,1,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/38C599E9-8E5F-4F70-AF35-F39E4375A975,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20258513,SMKS MIFTAAHUSH SHUDUUR,20258513,JL GUNUNG SALAK ENDAH,CIBUNTU,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN KHIDMAT ABDILLAH HASANAH,AJ6243,001/YKAH/VI/2008,02-06-2008,421/286-Disdik,25-02-2010,Lihat SK Operasional,2020-08-24 19,C,"20,250",1. Biznet (Serat Optik),2. Lainnya (Serat Optik),PLN,,,msmiftaahushshuduur165@gmail.com,http,-6.593700000000,106.687500000000,10,42,43,3,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,,2022/2023-2,Biznet (Serat Optik),"2,219",3,0,1,4,0,0,11,1,10,0,0,0,0,10,0,10,0,2,3,1,3,1,0,0,6,4,1,1,1,0,3,0,0,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E6C3BD74-09AD-4A3D-96E7-D99F5E0D471D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200606,SMKS PELITA CIAMPEA 1,20200606,JL. RAYA WARUNG BORONG CIAMPEA,BENTENG,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan NURUL WALIDAIN T.H,AJ6249,04/YMU/XI/1996,22-11-1996,393/I02.5/Kep/OT/1998,09-06-1998,Silakan Upload SK,,A,"11,625",1. Telkom Astinet,2. Telkom Astinet,PLN,02518627289,02518627289,smkpelita.ciampea@gmail.com,http,-6.552700000000,106.697600000000,80,815,"1,343",52,SMK 2013 REV.  Akuntansi dan Keuangan Lembaga,Double Shift/6 hari,,2022/2023-2,Telkom Astinet,"14,000",50,1,1,3,2,0,65,18,78,0,1,1,45,35,0,73,7,5,18,11,20,11,11,4,35,45,18,17,17,0,39,0,11,0,1,0,0,0
Jawa Barat,Kab. Bogor,Ciampea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8C214E3D-7119-41BA-B853-816BBA715A17,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20200607,SMKS PELITA CIAMPEA 2,20200607,PERUMAHAN CIAMPEA ASRI,BENTENG,KEC. CIAMPEA,KAB. BOGOR,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan NURUL WALIDAIN T.H,AJ6249,65/YNW/VI/2005,17-06-2005,421/300-Dikmen,06-02-2006,Silakan Upload SK,,A,"7,700",1.,2.,PLN,,8761562,,,-6.593888000000,106.691646000000,48,921,323,35,SMK 2013 REV.  Usaha Perjalanan Wisata,Double Shift/6 hari,,2022/2023-2,Telkom Speedy,"3,499",20,0,1,2,0,0,42,8,48,0,0,0,24,24,3,42,3,4,10,8,9,7,7,3,24,24,12,11,12,0,20,0,0,0,1,0,0,0
